name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points
Abdul Rahman Baba,Chelsea,Liverpool,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0
Abdul Rahman Baba,Chelsea,West Ham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Luton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Aston Villa,2023-09-24,True,0,0.0,0.03,0.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.01,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Fulham,2023-10-02,False,0,1.0,0.86,0.0,0.0,0,2.0,0.0,0.0,0,0,0,0.0,0,0.0,0.18,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Burnley,2023-10-07,False,0,0.0,0.09,0.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.19,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Arsenal,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.19,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Brentford,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.19,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Tottenham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.19,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Manchester City,2023-11-12,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.02,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Newcastle United,2023-11-25,False,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Brighton,2023-12-03,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Manchester United,2023-12-06,False,0,0.0,0.14,0.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.03,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Everton,2023-12-10,False,0,0.0,0.11,0.0,0.03,0,1.0,1.0,0.0,0,0,0,0.0,0,0.0,0.05,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Sheffield,2023-12-16,True,0,0.0,0.85,0.0,0.0,0,2.0,0.0,0.0,0,0,0,0.0,0,0.0,0.22,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Wolverhampton,2023-12-24,False,0,0.0,0.13,0.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.24,0.0,0,0.0
Abdul Rahman Baba,Chelsea,Crystal Palace,2023-12-27,True,0,0.0,0.07,0.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.26,0.0,0,0.0
