name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points
Jordan Beyer,Burnley,Manchester City,,True,73,,,,,1,,,0.0,0,0,2,1.01,1,1.0,0.0,73.0,0.0,0.0
Jordan Beyer,Burnley,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.5,0.0,36.5,0.0,-1.0
Jordan Beyer,Burnley,Tottenham,,True,73,,,,,-1,,,2.3,0,0,5,2.14,1,0.0,0.0,48.67,0.0,3.0
Jordan Beyer,Burnley,Nottingham Forest,,False,87,,,,,3,,,2.3,1,0,1,0.64,1,0.75,0.0,58.25,0.0,1.0
Jordan Beyer,Burnley,Manchester United,2023-09-23,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.5,0,0,1,0.91,1,0.8,0.0,64.6,0.0,0.0
Jordan Beyer,Burnley,Newcastle United,2023-09-30,False,90,0.0,0.0,0.0,0.08,0,0.0,1.0,2.6,0,0,2,3.19,1,0.6,0.0,68.83,0.0,2.0
Jordan Beyer,Burnley,Luton,,False,90,,,,,2,,,2.6,0,0,1,1.31,1,1.0,0.0,71.86,0.0,0.0
Jordan Beyer,Burnley,Chelsea,2023-10-07,True,0,0.0,0.42,0.0,0.0,0,3.0,0.0,0.0,0,0,0,0.0,0,1.2,0.08,62.88,0.0,0.0
Jordan Beyer,Burnley,Brentford,2023-10-21,False,0,0.0,0.11,0.0,0.0,0,3.0,0.0,0.0,0,0,0,0.0,0,0.6,0.11,55.89,0.0,0.0
Jordan Beyer,Burnley,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.11,50.3,0.0,2.0
Jordan Beyer,Burnley,Crystal Palace,2023-11-04,True,85,0.0,0.04,1.0,0.8,2,1.0,1.0,1.5,0,0,1,0.97,1,0.8,0.31,53.45,0.0,1.0
Jordan Beyer,Burnley,Arsenal,2023-11-11,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,5.1,0,0,3,2.03,1,0.6,0.31,56.5,0.0,0.0
Jordan Beyer,Burnley,West Ham,2023-11-25,True,90,0.0,0.0,0.0,0.74,0,0.0,2.0,1.6,0,0,2,1.03,1,0.6,0.23,59.08,0.0,11.0
Jordan Beyer,Burnley,Sheffield,,True,90,,,,,11,,,4.6,3,1,0,0.39,1,2.8,0.21,61.29,0.1,0.0
Jordan Beyer,Burnley,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,2.8,0.21,57.2,0.1,2.0
Jordan Beyer,Burnley,Brighton,2023-12-09,False,90,0.0,0.0,0.0,0.46,2,0.0,1.0,3.4,0,0,1,2.72,1,2.8,0.0,59.25,0.09,1.0
Jordan Beyer,Burnley,Everton,,True,90,,,,,1,,,2.8,0,0,2,1.34,1,2.8,0.0,61.06,0.08,5.0
Jordan Beyer,Burnley,Fulham,,False,90,,,,,5,,,3.4,0,1,0,1.38,1,3.8,0.0,62.67,0.15,1.0
Jordan Beyer,Burnley,Liverpool,,True,90,,,,,1,,,4.7,0,0,2,1.69,1,1.8,0.0,64.11,0.14,1.0
Jordan Beyer,Burnley,Aston Villa,2023-12-30,False,16,0.0,0.08,1.0,0.5,1,1.0,2.0,0.0,0,0,0,0.12,1,2.0,0.22,61.7,0.13,0.0
Jordan Beyer,Burnley,Luton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,1.6,0.22,58.76,0.13,0.0
Jordan Beyer,Burnley,Manchester City,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.4,0.22,56.09,0.13,0.0
