name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Nathaniel Clyne,Crystal Palace,Sheffield,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,17.63,0.0,Crystal Palace,True,Arsenal,-1.01,-0.11
Nathaniel Clyne,Crystal Palace,Arsenal,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,17.63,0.0,Crystal Palace,False,Brentford,0.39,-0.53
Nathaniel Clyne,Crystal Palace,Brentford,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,17.63,0.0,Crystal Palace,True,Wolverhampton,-1.49,0.05
Nathaniel Clyne,Crystal Palace,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,17.63,0.0,Crystal Palace,False,Aston Villa,1.29,0.29
Nathaniel Clyne,Crystal Palace,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,17.63,0.0,Crystal Palace,True,Fulham,5.25,-0.13
Nathaniel Clyne,Crystal Palace,Fulham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,17.63,0.0,Crystal Palace,False,Manchester United,1.58,-0.63
Nathaniel Clyne,Crystal Palace,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,17.63,6.0,Crystal Palace,True,Nottingham Forest,2.39,1.55
Nathaniel Clyne,Crystal Palace,Nottingham Forest,2023-10-07,True,90,0.0,0.04,0.0,0.0,6,1.0,0.0,1.5,0,1,0,1.18,1,1.2,0.01,11.25,1.0,0.0,0.7,0.17,17.63,0.0,Crystal Palace,False,Newcastle United,2.42,-0.41
Nathaniel Clyne,Crystal Palace,Newcastle United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.2,0.01,10.0,1.0,0.0,0.7,0.17,17.63,1.0,Crystal Palace,True,Tottenham,0.96,0.69
Nathaniel Clyne,Crystal Palace,Tottenham,2023-10-27,True,20,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,0,0.25,0,1.4,0.01,11.0,0.5,0.0,0.7,0.17,17.63,1.0,Crystal Palace,False,Burnley,1.63,0.0
