name,position_x,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home,goals,shots,xG,time,position_y,date,xA,assists,key_passes,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Olu Aina,DEF,Nott'm Forest,0,0,0.38,2,0.0,2023-08-12,71,Arsenal,0,1,0,False,0.0,1.0,0.02,78.0,DML,2023-08-12,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,0,0,0,1.0,Nott'm Forest,False,Liverpool,1.21,-1.01
Olu Aina,DEF,Nott'm Forest,0,0,2.44,2,1.5,2023-10-29,68,Liverpool,0,1,1,False,0.0,0.0,0.0,73.0,DL,2023-10-29,0.0,0.0,0.0,0.0,0.02,69.5,0.0,0,0,0,0,14.0,Nott'm Forest,True,Aston Villa,-1.24,0.64
Olu Aina,DEF,Nott'm Forest,2,1,1.26,0,6.9,2023-11-05,85,Aston Villa,0,1,14,True,1.0,1.0,0.03,90.0,DR,2023-11-05,0.11,0.0,1.0,0.5,0.01,74.67,0.33,0,0,0,0,4.0,Nott'm Forest,False,West Ham,5.53,-0.22
Olu Aina,DEF,Nott'm Forest,0,0,1.14,2,3.9,2023-11-12,75,West Ham,0,1,4,False,0.0,0.0,0.0,79.0,DR,2023-11-12,0.1,1.0,1.0,5.0,0.02,74.75,0.25,0,0,0,0,1.0,Nott'm Forest,True,Brighton,-4.68,-0.66
Olu Aina,DEF,Nott'm Forest,0,0,1.46,3,1.5,2023-11-25,89,Brighton,0,1,1,True,0.0,1.0,0.02,90.0,DR,2023-11-25,0.0,0.0,0.0,4.75,0.26,77.6,0.2,0,0,0,0,0.0,Nott'm Forest,True,Everton,0.17,0.53
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-12-02,0,Everton,0,0,0,True,,,,,,,,,,4.0,0.21,64.67,0.2,0,0,0,0,0.0,Nott'm Forest,False,Fulham,3.69,0.86
Olu Aina,DEF,Nott'm Forest,0,0,2.52,5,3.0,2023-12-06,90,Fulham,0,1,0,False,0.0,0.0,0.0,90.0,DR,2023-12-06,0.08,0.0,1.0,4.0,0.21,68.29,0.17,0,0,0,0,0.0,Nott'm Forest,False,Wolverhampton,1.27,-0.52
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-12-09,0,Wolverhampton,0,0,0,False,,,,,,,,,,3.8,0.21,59.75,0.17,0,0,0,0,0.0,Nott'm Forest,True,Tottenham,5.64,0.69
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-12-15,0,Tottenham,0,0,0,True,,,,,,,,,,1.0,0.2,53.11,0.17,0,0,0,0,1.0,Nott'm Forest,True,Bournemouth,0.55,1.22
Olu Aina,DEF,Nott'm Forest,0,0,0.04,1,0.1,2023-12-23,5,Bournemouth,0,0,1,True,0.0,0.0,0.0,1.0,Sub,2023-12-23,0.0,0.0,0.0,0.2,0.0,48.3,0.17,0,0,0,0,2.0,Nott'm Forest,False,Newcastle United,1.35,-0.41
Olu Aina,DEF,Nott'm Forest,0,0,2.43,1,1.2,2023-12-26,90,Newcastle United,0,1,2,False,0.0,2.0,0.03,90.0,DL,2023-12-26,0.0,0.0,0.0,0.2,0.0,52.09,0.14,0,0,0,0,0.0,Nott'm Forest,True,Sheffield,,0.68
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2023-08-18,0,Sheffield,0,0,0,True,,,,,,,,,,0.6,0.01,47.75,0.14,0,0,0,0,2.0,Nott'm Forest,True,Manchester United,2.69,0.38
Olu Aina,DEF,Nott'm Forest,0,0,0.45,1,3.0,2023-12-30,86,Manchester United,0,1,2,True,0.0,0.0,0.0,88.0,DL,2023-12-30,0.04,0.0,1.0,0.6,0.01,50.69,0.12,0,0,0,0,0.0,Nott'm Forest,False,Brentford,1.0,-0.53
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-01-20,0,Brentford,0,0,0,False,,,,,,,,,,1.0,0.01,47.07,0.12,0,0,0,0,0.0,Nott'm Forest,True,Arsenal,-2.77,-0.11
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-01-30,0,Arsenal,0,0,0,True,,,,,,,,,,1.0,0.01,43.93,0.12,0,0,0,0,0.0,Nott'm Forest,False,Bournemouth,1.05,0.19
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-04,0,Bournemouth,0,0,0,False,,,,,,,,,,0.8,0.01,41.19,0.12,0,0,0,0,0.0,Nott'm Forest,True,Newcastle United,1.26,0.55
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-10,0,Newcastle United,0,0,0,True,,,,,,,,,,0.4,0.0,38.76,0.12,0,0,0,0,0.0,Nott'm Forest,True,West Ham,-1.34,0.49
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-17,0,West Ham,0,0,0,True,,,,,,,,,,0.4,0.0,36.61,0.12,0,0,0,0,0.0,Nott'm Forest,False,Aston Villa,2.3,0.29
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-02-24,0,Aston Villa,0,0,0,False,,,,,,,,,,0.0,0.0,34.68,0.12,0,0,0,0,0.0,Nott'm Forest,True,Liverpool,-3.15,0.18
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-03-02,0,Liverpool,0,0,0,True,,,,,,,,,,0.0,0.0,32.95,0.12,0,0,0,0,0.0,Nott'm Forest,False,Brighton,0.45,-0.6
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-03-10,0,Brighton,0,0,0,False,,,,,,,,,,0.0,0.0,31.38,0.12,0,0,0,0,0.0,Nott'm Forest,False,Luton,,
Olu Aina,DEF,Nott'm Forest,0,0,0.0,0,0.0,2024-03-16,0,Luton,0,0,0,False,,,,,,,,,,0.0,0.0,29.95,0.12,0,0,0,0,0.0,Nott'm Forest,False,Manchester United,1.16,-0.63
Olu Aina,DEF,Nott'm Forest,0,0,2.91,3,1.3,2023-08-26,90,Manchester United,0,1,0,False,0.0,0.0,0.0,90.0,DML,2023-08-26,0.0,0.0,0.0,0.0,0.0,32.57,0.11,0,0,0,0,2.0,Nott'm Forest,True,Crystal Palace,-1.59,0.88
