name,position_x,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,starts,total_points,was_home,goals,shots,xG,time,position_y,date,xA,assists,key_passes,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-08-12,0,Fulham,0,0,0,True,,,,,,,,,,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,False,West Ham,4.39,-0.22
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-10-29,0,West Ham,0,0,0,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Brighton,2.15,-0.66
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-11-04,0,Brighton,0,0,0,True,,,,,,,,,,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Crystal Palace,0.85,0.38
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-11-11,0,Crystal Palace,0,0,0,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Manchester United,-0.7,0.38
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-11-26,0,Manchester United,0,0,0,True,,,,,,,,,,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Nottingham Forest,1.05,-0.55
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-12-02,0,Nottingham Forest,0,0,0,False,,,,,,,,,,0.0,0.0,0.0,0.0,0.27,1.46,23.03,0.28,6.0,Everton,True,Newcastle United,1.57,0.55
Seamus Coleman,DEF,Everton,0,1,0.88,0,1.5,2023-12-07,66,Newcastle United,0,1,6,True,0.0,0.0,0.0,72.0,DR,2023-12-07,0.0,0.0,0.0,0.0,0.0,9.43,1.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Chelsea,-0.66,-0.25
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-12-10,0,Chelsea,0,0,0,True,,,,,,,,,,1.2,0.0,8.25,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Burnley,-1.91,0.0
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-12-16,0,Burnley,0,0,0,False,,,,,,,,,,1.2,0.0,7.33,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Tottenham,4.06,-0.36
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-12-23,0,Tottenham,0,0,0,False,,,,,,,,,,1.2,0.0,6.6,1.0,0.27,1.46,23.03,0.28,0.0,Everton,True,Manchester City,1.82,-0.96
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-12-27,0,Manchester City,0,0,0,True,,,,,,,,,,1.2,0.0,6.0,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Aston Villa,1.9,0.29
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2023-08-20,0,Aston Villa,0,0,0,False,,,,,,,,,,1.2,0.0,5.5,1.0,0.27,1.46,23.03,0.28,1.0,Everton,False,Wolverhampton,0.11,-0.52
Seamus Coleman,DEF,Everton,0,0,0.22,0,0.6,2023-12-30,27,Wolverhampton,0,0,1,False,0.0,0.0,0.0,22.0,Sub,2023-12-30,0.0,0.0,0.0,0.0,0.0,7.15,1.0,0.27,1.46,23.03,0.28,6.0,Everton,True,Aston Villa,2.11,0.64
Seamus Coleman,DEF,Everton,0,1,1.11,0,2.6,2024-01-14,90,Aston Villa,0,1,6,True,0.0,0.0,0.0,90.0,DR,2024-01-14,0.0,0.0,0.0,0.2,0.0,13.07,1.0,0.27,1.46,23.03,0.28,0.0,Everton,False,Fulham,-1.22,0.86
Seamus Coleman,DEF,Everton,0,0,0.0,0,0.0,2024-01-30,0,Fulham,0,0,0,False,,,,,,,,,,1.4,0.0,12.2,1.0,0.27,1.46,23.03,0.28,1.0,Everton,True,Tottenham,1.13,0.69
