name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Tom McGill,Brighton,Luton,2023-08-12,True,0,0,0.0,0,0,0,0,0,0.03,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Wolverhampton,-2.92,-0.52
Tom McGill,Brighton,Wolverhampton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,West Ham,-4.33,0.49
Tom McGill,Brighton,West Ham,2023-08-26,True,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Newcastle United,-0.11,0.55
Tom McGill,Brighton,Newcastle United,2023-09-02,True,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Manchester United,0.41,-0.63
Tom McGill,Brighton,Manchester United,2023-09-16,False,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Bournemouth,-0.59,1.22
Tom McGill,Brighton,Bournemouth,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Aston Villa,1.97,0.29
Tom McGill,Brighton,Aston Villa,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Liverpool,-0.83,0.18
Tom McGill,Brighton,Liverpool,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Manchester City,1.73,-1.32
Tom McGill,Brighton,Manchester City,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Fulham,0.36,-0.13
Tom McGill,Brighton,Fulham,2023-10-29,True,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Everton,-2.97,-0.24
Tom McGill,Brighton,Everton,2023-11-04,False,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Sheffield,,0.68
Tom McGill,Brighton,Sheffield,2023-11-12,True,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Nottingham Forest,3.35,-0.55
Tom McGill,Brighton,Nottingham Forest,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Chelsea,-1.77,-0.85
Tom McGill,Brighton,Chelsea,2023-12-03,False,0,0,0.0,0,0,0,0,0,0.55,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Brentford,-2.16,0.79
Tom McGill,Brighton,Brentford,2023-12-06,True,0,0,0.0,0,0,0,0,0,0.1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Burnley,4.68,0.39
Tom McGill,Brighton,Burnley,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Arsenal,-3.23,-0.48
Tom McGill,Brighton,Arsenal,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Crystal Palace,0.25,0.38
Tom McGill,Brighton,Crystal Palace,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Tottenham,2.15,0.69
Tom McGill,Brighton,Tottenham,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,West Ham,-1.66,-0.22
Tom McGill,Brighton,West Ham,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Wolverhampton,-2.74,0.05
Tom McGill,Brighton,Wolverhampton,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Luton,,
Tom McGill,Brighton,Luton,2024-01-30,False,0,0,0.0,0,0,0,0,0,0.48,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Crystal Palace,,0.88
Tom McGill,Brighton,Crystal Palace,2024-02-03,True,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Tottenham,,-0.36
Tom McGill,Brighton,Tottenham,2024-02-10,False,0,0,0.0,0,0,0,0,0,0.44,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Sheffield,,-0.61
Tom McGill,Brighton,Sheffield,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Everton,3.86,0.53
Tom McGill,Brighton,Everton,2024-02-24,True,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Fulham,0.07,0.86
Tom McGill,Brighton,Fulham,2024-03-02,False,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Nottingham Forest,-0.0,1.55
Tom McGill,Brighton,Nottingham Forest,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Liverpool,-2.6,-1.01
Tom McGill,Brighton,Liverpool,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Brentford,0.72,-0.53
Tom McGill,Brighton,Brentford,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Arsenal,2.09,-0.11
Tom McGill,Brighton,Arsenal,2024-04-06,True,0,0,0.0,0,0,0,0,0,0.13,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Burnley,-0.71,0.0
Tom McGill,Brighton,Burnley,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Manchester City,5.78,-0.96
Tom McGill,Brighton,Manchester City,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Bournemouth,,0.19
Tom McGill,Brighton,Bournemouth,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Aston Villa,1.69,0.64
Tom McGill,Brighton,Aston Villa,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,False,Newcastle United,,-0.41
Tom McGill,Brighton,Newcastle United,2024-05-11,False,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Chelsea,-6.21,-0.25
Tom McGill,Brighton,Chelsea,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Brighton,True,Manchester United,,0.38
Tom McGill,Brighton,Manchester United,2024-05-19,True,0,0,0.0,0,0,0,0,0,0.07,0,0.0,0,0.0,0,0,0,0,0.0,,Man City,False,Chelsea,-0.75,-0.85
