name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Allan Saint-Maximin,Newcastle,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Manchester City,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Brighton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Brentford,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Sheffield,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Burnley,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,West Ham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Arsenal,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Chelsea,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Manchester United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Everton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Tottenham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Fulham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Luton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Liverpool,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Manchester City,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Luton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Nottingham Forest,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Chelsea,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,West Ham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Everton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Fulham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Tottenham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Crystal Palace,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Sheffield,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Burnley,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Brighton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Manchester United,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,0.0
Allan Saint-Maximin,Newcastle,Brentford,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,1.0,5.0,1.62,4.72,0.06,
