name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
James Garner,Everton,Fulham,2023-08-12,True,82,0.0,0.0,0.0,0.03,2,0.0,1.0,2.7,0,1,2.0,0.0,82.0,2.0,Everton,False,Aston Villa,1.9,0.29
James Garner,Everton,Aston Villa,2023-08-20,False,90,0.0,0.03,0.0,0.14,2,1.0,1.0,3.6,0,1,2.0,0.01,86.0,1.0,Everton,True,Wolverhampton,1.66,0.05
James Garner,Everton,Wolverhampton,2023-08-26,True,90,0.0,0.06,0.0,0.72,1,2.0,2.0,6.1,0,1,1.67,0.03,87.33,2.0,Everton,False,Sheffield,,-0.61
James Garner,Everton,Sheffield,2023-09-02,False,74,0.0,0.0,0.0,0.05,2,0.0,1.0,1.6,0,1,1.75,0.02,84.0,1.0,Everton,True,Arsenal,-3.25,-0.11
James Garner,Everton,Arsenal,2023-09-17,True,10,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,1.6,0.02,69.2,7.0,Everton,False,Brentford,1.71,-0.53
James Garner,Everton,Brentford,2023-09-23,False,90,0.0,0.04,1.0,0.43,7,2.0,4.0,9.7,2,1,2.6,0.23,72.67,2.0,Everton,True,Luton,,
James Garner,Everton,Luton,2023-09-30,True,90,0.0,0.7,0.0,0.77,2,4.0,3.0,7.0,0,1,2.6,0.36,75.14,8.0,Everton,True,Bournemouth,-1.77,1.22
James Garner,Everton,Bournemouth,2023-10-07,True,90,1.0,0.15,0.0,0.0,8,4.0,0.0,7.9,0,1,4.0,0.38,77.0,2.0,Everton,False,Liverpool,1.89,-1.01
James Garner,Everton,Liverpool,2023-10-21,False,90,0.0,0.01,0.0,0.0,2,1.0,0.0,1.1,0,1,4.0,0.38,78.44,3.0,Everton,False,West Ham,4.39,-0.22
James Garner,Everton,West Ham,2023-10-29,False,90,0.0,0.0,0.0,0.0,3,0.0,0.0,2.6,0,1,4.4,0.38,79.6,2.0,Everton,True,Brighton,2.15,-0.66
James Garner,Everton,Brighton,2023-11-04,True,90,0.0,0.12,0.0,0.02,2,1.0,1.0,3.2,0,1,3.4,0.19,80.55,1.0,Everton,False,Crystal Palace,0.85,0.38
James Garner,Everton,Crystal Palace,2023-11-11,False,90,0.0,0.03,0.0,0.0,1,1.0,0.0,1.6,0,1,3.2,0.06,81.33,2.0,Everton,True,Manchester United,-0.7,0.38
James Garner,Everton,Manchester United,2023-11-26,True,90,0.0,0.04,0.0,0.21,2,2.0,3.0,7.1,0,1,2.0,0.04,82.0,3.0,Everton,False,Nottingham Forest,1.05,-0.55
James Garner,Everton,Nottingham Forest,2023-12-02,False,90,0.0,0.01,0.0,0.0,3,1.0,0.0,3.3,0,1,2.2,0.04,82.57,0.0,Everton,True,Newcastle United,1.57,0.55
James Garner,Everton,Newcastle United,,True,0,,,,,0,,,0.0,0,0,1.6,0.04,77.07,3.0,Everton,True,Chelsea,-0.66,-0.25
James Garner,Everton,Chelsea,2023-12-10,True,90,0.0,0.0,0.0,0.0,3,0.0,0.0,1.2,0,1,1.8,0.02,77.88,2.0,Everton,False,Burnley,-1.91,0.0
James Garner,Everton,Burnley,2023-12-16,False,90,0.0,0.05,0.0,0.53,2,1.0,2.0,6.4,0,1,2.0,0.02,78.59,2.0,Everton,False,Tottenham,4.06,-0.36
James Garner,Everton,Tottenham,2023-12-23,False,90,0.0,0.17,0.0,0.2,2,3.0,3.0,8.8,0,1,2.0,0.05,79.22,2.0,Everton,True,Manchester City,1.82,-0.96
James Garner,Everton,Manchester City,2023-12-27,True,90,0.0,0.0,0.0,0.06,2,0.0,1.0,4.0,0,1,1.8,0.04,79.79,2.0,Everton,False,Wolverhampton,0.11,-0.52
James Garner,Everton,Wolverhampton,2023-12-30,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.7,0,1,2.2,0.04,80.3,3.0,Everton,True,Aston Villa,2.11,0.64
James Garner,Everton,Aston Villa,2024-01-14,True,90,0.0,0.14,0.0,0.14,3,2.0,2.0,7.7,0,1,2.2,0.07,80.76,3.0,Everton,False,Fulham,-1.22,0.86
