name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
James McAtee,Man City,Burnley,2023-08-11,False,Sub,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,Sheffield Utd,False,Arsenal,,-0.48
James McAtee,Sheffield Utd,Arsenal,2023-10-28,False,MR,70,0.0,0.01,0.0,0.01,2,1.0,1.0,1.5,0,0,3,True,1.0,0.0,35.5,0.0,0.0,0.0,0.0,0,4,Sheffield Utd,True,Wolverhampton,,0.05
James McAtee,Sheffield Utd,Wolverhampton,2023-11-04,True,Sub,45,0.0,0.14,1.0,0.05,4,2.0,2.0,5.8,0,0,1,False,1.5,0.0,38.67,0.0,0.0,0.0,0.0,0,2,Sheffield Utd,False,Brighton,,-0.6
James McAtee,Sheffield Utd,Brighton,2023-11-12,False,AMC,84,0.0,0.06,0.0,0.0,2,1.0,0.0,2.9,0,0,1,True,2.33,0.38,50.0,0.0,0.0,0.0,0.0,0,2,Sheffield Utd,True,Bournemouth,,1.22
James McAtee,Sheffield Utd,Bournemouth,2023-11-25,True,AMC,80,0.0,0.04,0.0,0.0,2,1.0,0.0,0.8,0,0,3,True,2.25,0.3,56.0,0.0,0.0,0.0,0.0,0,1,Sheffield Utd,False,Burnley,,0.0
James McAtee,Sheffield Utd,Burnley,2023-12-02,False,Sub,45,0.0,0.0,0.0,0.05,1,0.0,1.0,1.7,0,0,3,False,2.2,0.25,54.17,0.0,0.0,0.0,0.0,0,2,Sheffield Utd,True,Liverpool,,0.18
James McAtee,Sheffield Utd,Liverpool,2023-12-06,True,AMC,90,0.0,0.6,0.0,0.11,2,2.0,1.0,5.6,0,0,2,True,2.2,0.25,59.29,0.0,0.0,0.0,0.0,0,8,Sheffield Utd,True,Brentford,,0.79
James McAtee,Sheffield Utd,Brentford,2023-12-09,True,MR,80,1.0,0.03,0.0,0.0,8,1.0,0.0,6.4,0,1,0,True,2.2,0.37,61.88,0.0,0.0,0.0,0.0,0,1,Sheffield Utd,False,Chelsea,,-0.85
James McAtee,Sheffield Utd,Chelsea,2023-12-16,False,MR,90,0.0,0.0,0.0,0.1,1,0.0,1.0,2.9,0,0,2,True,3.0,0.15,65.0,0.0,0.0,0.0,0.0,0,1,Sheffield Utd,False,Aston Villa,,0.29
James McAtee,Sheffield Utd,Aston Villa,2023-12-22,False,Sub,14,0.0,0.0,0.0,0.0,1,0.0,0.0,1.6,0,0,1,False,2.8,0.13,59.9,0.0,0.0,0.0,0.0,0,5,Sheffield Utd,True,Luton,,
