name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Jean-Ricner Bellegarde,Wolves,Liverpool,2023-09-16,True,76,0.0,0.09,0.0,0.04,2,1.0,1.0,2.6,0,1,2.0,0.09,76.0,-2.0,Wolves,False,Luton,,
Jean-Ricner Bellegarde,Wolves,Luton,2023-09-23,False,38,0.0,0.0,0.0,0.0,-2,0.0,0.0,0.6,0,1,0.0,0.05,57.0,0.0,Wolves,True,Manchester City,4.2,-0.96
Jean-Ricner Bellegarde,Wolves,Manchester City,,True,0,,,,,0,,,0.0,0,0,0.0,0.03,38.0,0.0,Wolves,True,Aston Villa,-1.74,0.64
Jean-Ricner Bellegarde,Wolves,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0.0,0.02,28.5,0.0,Wolves,False,Bournemouth,1.23,0.19
Jean-Ricner Bellegarde,Wolves,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0.0,0.02,22.8,0.0,Wolves,True,Newcastle United,-1.69,0.55
Jean-Ricner Bellegarde,Wolves,Newcastle United,,True,0,,,,,0,,,0.0,0,0,-0.4,0.0,19.0,7.0,Wolves,False,Sheffield,,-0.61
Jean-Ricner Bellegarde,Wolves,Sheffield,2023-11-04,False,29,1.0,0.07,0.0,0.09,7,1.0,1.0,7.3,1,0,1.4,0.01,20.43,2.0,Wolves,True,Tottenham,0.14,0.69
Jean-Ricner Bellegarde,Wolves,Tottenham,2023-11-11,True,72,0.0,0.04,0.0,0.03,2,1.0,1.0,2.7,0,1,1.8,0.02,26.88,5.0,Wolves,False,Fulham,-0.7,0.86
Jean-Ricner Bellegarde,Wolves,Fulham,2023-11-27,False,61,0.0,0.0,1.0,0.39,5,0.0,2.0,6.2,0,1,2.8,0.22,30.67,2.0,Wolves,False,Arsenal,2.85,-0.48
Jean-Ricner Bellegarde,Wolves,Arsenal,2023-12-02,False,62,0.0,0.0,0.0,0.0,2,0.0,0.0,0.5,0,1,3.2,0.22,33.8,1.0,Wolves,True,Burnley,0.01,0.39
Jean-Ricner Bellegarde,Wolves,Burnley,2023-12-05,True,11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,3.4,0.22,31.73,1.0,Wolves,True,Nottingham Forest,-1.37,1.55
Jean-Ricner Bellegarde,Wolves,Nottingham Forest,2023-12-09,True,21,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,2.2,0.21,30.83,2.0,Wolves,False,West Ham,2.37,-0.22
Jean-Ricner Bellegarde,Wolves,West Ham,2023-12-17,False,90,0.0,0.11,0.0,0.09,2,3.0,1.0,4.5,0,1,2.2,0.22,35.38,0.0,Wolves,True,Chelsea,-1.82,-0.25
Jean-Ricner Bellegarde,Wolves,Chelsea,,True,0,,,,,0,,,0.0,0,0,1.2,0.02,32.86,6.0,Wolves,False,Brentford,-1.35,-0.53
