name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Rodrigo Hernandez,Man City,Burnley,,False,,90,,,,,13,,,15.3,2,1,0,True,0.0,0.0,90.0,4.0,1.0,1.2,0.31,0.04,6.0,Man City,False,Manchester United,0.81,-0.63
Rodrigo Hernandez,Man City,Manchester United,,False,,90,,,,,6,,,3.9,0,1,0,True,13.0,0.0,90.0,4.0,1.0,1.2,0.31,0.04,6.0,Man City,True,Bournemouth,-2.34,1.22
Rodrigo Hernandez,Man City,Bournemouth,,True,,70,,,,,6,,,7.4,0,1,0,True,9.5,0.0,83.33,4.0,1.0,1.2,0.31,0.04,6.0,Man City,False,Chelsea,-2.15,-0.85
Rodrigo Hernandez,Man City,Chelsea,,False,,90,,,,,6,,,9.7,0,0,4,True,8.33,0.0,85.0,4.0,1.0,1.2,0.31,0.04,2.0,Man City,True,Liverpool,-1.11,0.18
Rodrigo Hernandez,Man City,Liverpool,,True,,90,,,,,2,,,3.8,0,0,1,True,7.75,0.0,86.0,4.0,1.0,1.2,0.31,0.04,1.0,Man City,True,Tottenham,2.78,0.69
Rodrigo Hernandez,Man City,Tottenham,,True,,90,,,,,1,,,4.8,0,0,3,True,6.6,0.0,86.67,4.0,1.0,1.2,0.31,0.04,0.0,Man City,False,Aston Villa,0.45,0.29
Rodrigo Hernandez,Man City,Aston Villa,,False,,0,,,,,0,,,0.0,0,0,0,False,4.2,0.0,74.29,4.0,1.0,1.2,0.31,0.04,1.0,Man City,False,Luton,,
Rodrigo Hernandez,Man City,Luton,,False,,90,,,,,1,,,5.1,0,0,1,True,3.0,0.0,76.25,4.0,1.0,1.2,0.31,0.04,2.0,Man City,True,Crystal Palace,2.59,0.88
Rodrigo Hernandez,Man City,Crystal Palace,,True,,90,,,,,2,,,6.2,0,0,2,True,2.0,0.0,77.78,4.0,1.0,1.2,0.31,0.04,2.0,Man City,False,Everton,-1.97,-0.24
Rodrigo Hernandez,Man City,Everton,,False,,90,,,,,2,,,4.0,0,0,1,True,1.2,0.0,79.0,4.0,1.0,1.2,0.31,0.04,3.0,Man City,True,Newcastle United,-3.63,0.55
Rodrigo Hernandez,Man City,Newcastle United,,True,,90,,,,,3,,,3.1,0,1,0,True,1.2,0.0,80.0,4.0,1.0,1.2,0.31,0.04,10.0,Man City,True,Sheffield,,0.68
Rodrigo Hernandez,Man City,Sheffield,,True,,90,,,,,10,,,9.4,2,1,0,True,1.6,0.0,80.83,4.0,1.0,1.2,0.31,0.04,4.0,Man City,False,Newcastle United,-2.55,-0.41
Rodrigo Hernandez,Man City,Newcastle United,,False,,90,,,,,4,,,11.8,0,0,2,True,3.6,0.0,81.54,4.0,1.0,1.2,0.31,0.04,10.0,Man City,True,Burnley,-1.82,0.39
Rodrigo Hernandez,Man City,Burnley,2024-01-31,True,DMC,86,0.0,0.0,0.0,0.03,10,0.0,1.0,7.8,2,1,0,True,4.2,0.0,81.86,4.0,1.0,1.2,0.31,0.04,2.0,Man City,False,Brentford,-0.65,-0.53
Rodrigo Hernandez,Man City,Brentford,,False,,90,,,,,2,,,9.2,0,0,1,True,5.8,0.0,82.4,4.0,1.0,1.2,0.31,0.04,3.0,Man City,True,Everton,-0.65,0.53
Rodrigo Hernandez,Man City,Everton,2024-02-10,True,DMC,90,0.0,0.02,0.0,0.0,3,1.0,0.0,5.7,0,1,0,True,5.8,0.0,82.88,4.0,1.0,1.2,0.31,0.04,10.0,Man City,True,Chelsea,-0.88,-0.25
Rodrigo Hernandez,Man City,Chelsea,2024-02-17,True,Sub,90,0.0,0.0,0.0,0.14,10,0.0,2.0,10.9,3,0,1,True,5.8,0.0,83.29,4.0,1.0,1.2,0.31,0.04,3.0,Man City,True,Brentford,1.93,0.79
Rodrigo Hernandez,Man City,Brentford,,True,,90,,,,,3,,,11.5,0,1,0,True,5.8,0.0,83.67,4.0,1.0,1.2,0.31,0.04,3.0,Man City,False,Bournemouth,-1.59,0.19
Rodrigo Hernandez,Man City,Bournemouth,,False,,90,,,,,3,,,4.3,0,1,0,True,5.6,0.0,84.0,4.0,1.0,1.2,0.31,0.04,10.0,Man City,True,Manchester United,-1.84,0.38
Rodrigo Hernandez,Man City,Manchester United,,True,,90,,,,,10,,,12.6,2,0,1,True,4.2,0.0,84.3,4.0,1.0,1.2,0.31,0.04,1.0,Man City,False,Liverpool,1.42,-1.01
Rodrigo Hernandez,Man City,Liverpool,2024-03-10,False,Sub,90,0.0,0.0,0.0,0.05,1,0.0,1.0,4.0,0,0,1,True,5.8,0.0,84.57,4.0,1.0,1.2,0.31,0.04,10.0,Man City,False,Sheffield,-1.37,-0.61
Rodrigo Hernandez,Man City,Sheffield,,False,,90,,,,,10,,,10.8,3,0,1,True,5.4,0.0,84.82,4.0,1.0,1.2,0.31,0.04,3.0,Man City,True,Arsenal,-4.53,-0.11
Rodrigo Hernandez,Man City,Arsenal,,True,,90,,,,,3,,,7.6,0,1,0,True,5.4,0.0,85.04,4.0,1.0,1.2,0.31,0.04,12.0,Man City,True,Aston Villa,,0.64
Rodrigo Hernandez,Man City,Aston Villa,,True,,74,,,,,12,,,12.4,2,0,1,True,5.4,0.0,84.58,4.0,1.0,1.2,0.31,0.04,5.0,Man City,False,Crystal Palace,,0.38
Rodrigo Hernandez,Man City,Crystal Palace,,False,,73,,,,,5,,,7.1,0,0,1,True,7.2,0.0,84.12,4.0,1.0,1.2,0.31,0.04,0.0,Man City,True,Luton,,
Rodrigo Hernandez,Man City,Luton,2024-04-13,True,DMC,0,0.0,0.06,0.0,0.0,0,1.0,0.0,0.0,0,0,0,False,6.2,0.0,80.88,4.0,1.0,1.2,0.31,0.04,3.0,Man City,False,Brighton,-5.24,-0.6
Rodrigo Hernandez,Man City,Brighton,,False,,78,,,,,3,,,2.5,0,1,0,True,6.0,0.01,80.78,4.0,1.0,1.2,0.31,0.04,3.0,Man City,False,Nottingham Forest,,-0.55
Rodrigo Hernandez,Man City,Nottingham Forest,2024-04-28,False,DMC,90,0.0,0.0,0.0,0.0,3,0.0,0.0,4.9,0,1,0,True,4.6,0.01,81.11,4.0,1.0,1.2,0.31,0.04,10.0,Man City,True,Wolverhampton,-0.23,0.05
Rodrigo Hernandez,Man City,Wolverhampton,,True,,90,,,,,10,,,13.0,2,0,1,True,4.6,0.01,81.41,4.0,1.0,1.2,0.31,0.04,3.0,Man City,False,Fulham,,0.86
Rodrigo Hernandez,Man City,Fulham,2024-05-11,False,Sub,90,0.0,0.11,0.0,0.0,3,1.0,0.0,4.0,0,1,0,True,4.2,0.01,81.7,4.0,1.0,1.2,0.31,0.04,3.0,Man City,False,Tottenham,0.63,-0.36
Rodrigo Hernandez,Man City,Tottenham,2024-05-14,False,MC,90,0.0,0.1,0.0,0.0,3,1.0,0.0,2.1,0,1,0,True,3.8,0.03,81.97,4.0,1.0,1.2,0.31,0.04,8.0,Man City,True,West Ham,-2.19,0.49
Rodrigo Hernandez,Man City,West Ham,2024-05-19,True,DMC,90,0.0,0.04,0.0,0.0,8,1.0,0.0,10.4,1,0,1,True,4.4,0.04,82.22,4.0,1.0,1.2,0.31,0.04,1.0,Man City,True,Fulham,-1.5,-0.13
Rodrigo Hernandez,Man City,Fulham,,True,,75,,,,,1,,,1.7,0,0,1,True,5.4,0.05,82.0,4.0,1.0,1.2,0.31,0.04,1.0,Man City,False,West Ham,-3.36,-0.22
Rodrigo Hernandez,Man City,West Ham,,False,,90,,,,,1,,,11.5,0,0,1,True,5.0,0.05,82.24,4.0,1.0,1.2,0.31,0.04,-2.0,Man City,True,Nottingham Forest,-4.8,1.55
Rodrigo Hernandez,Man City,Nottingham Forest,,True,,45,,,,,-2,,,1.7,0,0,0,True,3.2,0.05,81.17,4.0,1.0,1.2,0.31,0.04,0.0,Man City,False,Wolverhampton,-0.51,-0.52
Rodrigo Hernandez,Man City,Wolverhampton,,False,,0,,,,,0,,,0.0,0,0,0,False,2.2,0.03,78.92,4.0,1.0,1.2,0.31,0.04,0.0,Man City,False,Arsenal,-1.42,-0.48
Rodrigo Hernandez,Man City,Arsenal,,False,,0,,,,,0,,,0.0,0,0,0,False,1.6,0.01,76.78,4.0,1.0,1.2,0.31,0.04,1.0,Man City,True,Brighton,-1.58,-0.66
Rodrigo Hernandez,Man City,Brighton,,True,,90,,,,,1,,,2.1,0,0,1,True,0.0,0.0,77.13,4.0,1.0,1.2,0.31,0.04,,Nott'm Forest,True,Bournemouth,0.52,1.22
