name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Rúben Gato Alves Dias,Man City,,,False,90.0,,,,,6.0,,,1.5,0.0,1.0,0.0,1.01,1.0,6.0,0.0,90.0,1.0,0.0,0.03,0.32,25.12,1.0,Man City,True,,,
Rúben Gato Alves Dias,Man City,,,True,90.0,,,,,1.0,,,2.8,0.0,0.0,1.0,0.29,1.0,3.5,0.0,90.0,0.5,0.0,0.03,0.32,25.12,0.0,Man City,False,,,
Rúben Gato Alves Dias,Man City,,,False,90.0,,,,,0.0,,,4.3,0.0,0.0,1.0,0.73,1.0,2.33,0.0,90.0,0.33,0.0,0.03,0.32,25.12,1.0,Man City,True,,,
Rúben Gato Alves Dias,Man City,,,True,6.0,,,,,1.0,,,0.0,0.0,0.0,0.0,0.04,0.0,2.0,0.0,69.0,0.25,0.0,0.03,0.32,25.12,0.0,Man City,True,,,
Rúben Gato Alves Dias,Man City,,,True,90.0,,,,,0.0,,,7.1,0.0,0.0,2.0,0.65,1.0,1.6,0.0,73.2,0.2,0.0,0.03,0.32,25.12,1.0,Man City,False,,,
Rúben Gato Alves Dias,Man City,,,False,90.0,,,,,1.0,,,1.9,0.0,0.0,1.0,1.57,1.0,0.6,0.0,76.0,0.17,0.0,0.03,0.32,25.12,1.0,Man City,True,,,
Rúben Gato Alves Dias,Man City,,,True,90.0,,,,,1.0,,,3.8,0.0,0.0,2.0,2.6,1.0,0.6,0.0,78.0,0.14,0.0,0.03,0.32,25.12,2.0,Man City,False,,,
Rúben Gato Alves Dias,Man City,,,False,90.0,,,,,2.0,,,5.0,0.0,0.0,1.0,0.97,1.0,1.0,0.0,79.5,0.12,0.0,0.03,0.32,25.12,7.0,Man City,True,,,
Rúben Gato Alves Dias,Man City,,,True,90.0,,,,,7.0,,,4.7,1.0,1.0,0.0,0.21,1.0,2.2,0.0,80.67,0.22,0.0,0.03,0.32,25.12,,Man City,False,Bournemouth,-2.29,-0.04
,Man City,,,,,,,,,,,,,,,,,,,,,,,,,,,Man City,False,Brighton,-3.49,-0.61
,Man City,,,,,,,,,,,,,,,,,,,,,,,,,,,Man City,True,Tottenham,1.5,0.74
