name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Danny Welbeck,Brighton,Everton,2024-08-17,False,FW,90.0,1.0,0.22,1.0,0.12,12.0,2.0,2.0,11.1,3.0,True,0.0,0.0,90.0,5.0,1.0,6.23,2.18,0.05,9.0,Brighton,True,Manchester United,,0.39
Danny Welbeck,Brighton,Manchester United,2024-08-24,True,FW,78.0,1.0,1.14,0.0,0.14,9.0,3.0,2.0,12.4,3.0,True,12.0,1.22,84.0,5.0,1.0,6.23,2.18,0.05,2.0,Brighton,False,Arsenal,,-0.56
Danny Welbeck,Brighton,Arsenal,2024-08-31,False,FW,84.0,0.0,0.04,0.0,0.0,2.0,1.0,0.0,0.9,0.0,True,10.5,1.18,84.0,5.0,1.0,6.23,2.18,0.05,2.0,Brighton,True,Ipswich Town,,
Danny Welbeck,Brighton,Ipswich Town,2024-09-14,True,FW,84.0,0.0,0.2,0.0,0.0,2.0,4.0,0.0,5.7,0.0,True,7.67,0.8,84.0,5.0,1.0,6.23,2.18,0.05,6.0,Brighton,True,Nottingham Forest,,1.2
Danny Welbeck,Brighton,Nottingham Forest,2024-09-22,True,FW,90.0,1.0,0.75,0.0,0.06,6.0,3.0,1.0,9.5,1.0,True,6.25,0.65,85.2,5.0,1.0,6.23,2.18,0.05,2.0,Brighton,False,Chelsea,,-0.9
Danny Welbeck,Brighton,Chelsea,2024-09-28,False,FW,80.0,0.0,0.42,0.0,0.06,2.0,3.0,1.0,4.9,0.0,True,6.2,0.67,84.33,5.0,1.0,6.23,2.18,0.05,8.0,Brighton,True,Tottenham,,0.74
Danny Welbeck,Brighton,Tottenham,2024-10-06,True,FW,90.0,1.0,0.94,0.0,0.14,8.0,3.0,2.0,10.3,2.0,True,4.2,0.51,85.14,5.0,1.0,6.23,2.18,0.05,9.0,Brighton,False,Newcastle United,,-0.44
Danny Welbeck,Brighton,Newcastle United,2024-10-19,False,FW,80.0,1.0,0.55,0.0,0.0,9.0,2.0,0.0,6.6,3.0,True,4.0,0.47,84.5,5.0,1.0,6.23,2.18,0.05,7.0,Brighton,True,Wolverhampton,,-0.08
Danny Welbeck,Brighton,Wolverhampton,2024-10-26,True,FW,72.0,1.0,0.51,0.0,0.08,7.0,4.0,1.0,8.1,1.0,True,5.4,0.57,83.11,5.0,1.0,6.23,2.18,0.05,,Brighton,False,Liverpool,,-1.08
,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,Brighton,True,Manchester City,,-1.18
,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,Brighton,False,Bournemouth,,-0.04
