name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Jorge Luiz Frello Filho,Arsenal,Wolverhampton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19,0.27,0.05,0.0,Arsenal,False,Aston Villa,-0.83,0.11
Jorge Luiz Frello Filho,Arsenal,Aston Villa,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19,0.27,0.05,0.0,Arsenal,True,Brighton,0.58,-0.42
Jorge Luiz Frello Filho,Arsenal,Brighton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19,0.27,0.05,2.0,Arsenal,False,Tottenham,0.46,-0.3
Jorge Luiz Frello Filho,Arsenal,Tottenham,2024-09-15,False,90.0,0.0,0.11,1.0,0.57,2.0,1.0,5.0,0.2,0.0,1.0,0.5,0.28,22.5,1.0,0.0,0.19,0.27,0.05,0.0,Arsenal,False,Manchester City,2.4,-1.51
Jorge Luiz Frello Filho,Arsenal,Manchester City,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.4,0.22,18.0,1.0,0.0,0.19,0.27,0.05,0.0,Arsenal,True,Leicester City,-3.26,0.47
Jorge Luiz Frello Filho,Arsenal,Leicester City,2024-09-28,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.22,15.0,1.0,0.0,0.19,0.27,0.05,2.0,Arsenal,True,Southampton,-0.96,0.24
Jorge Luiz Frello Filho,Arsenal,Southampton,2024-10-05,True,60.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.5,0.0,1.0,0.8,0.22,21.43,1.0,0.0,0.19,0.27,0.05,0.0,Arsenal,False,Bournemouth,-5.08,-0.04
Jorge Luiz Frello Filho,Arsenal,Bournemouth,2024-10-19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.22,18.75,1.0,0.0,0.19,0.27,0.05,0.0,Arsenal,True,Liverpool,-1.54,0.24
Jorge Luiz Frello Filho,Arsenal,Liverpool,2024-10-27,True,0.0,0.0,0.0,0.0,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,16.67,1.0,0.0,0.19,0.27,0.05,,Arsenal,False,Newcastle United,0.23,-0.44
,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,Arsenal,False,Chelsea,-1.61,-0.9
,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,Arsenal,True,Nottingham Forest,-1.27,1.2
