name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Mykhailo Mudryk,Chelsea,Manchester City,,True,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,5.0,2.0,5.1,3.89,0.06,1.0,Chelsea,False,Wolverhampton,,-0.53
Mykhailo Mudryk,Chelsea,Wolverhampton,2024-08-25,False,AML,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,22.5,5.0,2.0,5.1,3.89,0.06,1.0,Chelsea,True,Crystal Palace,,0.88
Mykhailo Mudryk,Chelsea,Crystal Palace,2024-09-01,True,Sub,16.0,0.0,0.0,0.0,0.4,1.0,0.0,1.0,2.2,0.0,0.0,0.0,False,0.5,0.0,20.33,5.0,2.0,5.1,3.89,0.06,0.0,Chelsea,False,Bournemouth,,-0.04
Mykhailo Mudryk,Chelsea,Bournemouth,,False,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,False,0.67,0.0,15.25,5.0,2.0,5.1,3.89,0.06,0.0,Chelsea,False,West Ham,,-0.34
Mykhailo Mudryk,Chelsea,West Ham,,False,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,False,0.5,0.0,12.2,5.0,2.0,5.1,3.89,0.06,1.0,Chelsea,True,Brighton,,-0.42
Mykhailo Mudryk,Chelsea,Brighton,2024-09-28,True,Sub,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.4,0.0,13.33,5.0,2.0,5.1,3.89,0.06,1.0,Chelsea,True,Nottingham Forest,,1.2
Mykhailo Mudryk,Chelsea,Nottingham Forest,2024-10-06,True,Sub,1.0,0.0,0.0,0.0,0.67,1.0,0.0,1.0,2.1,0.0,0.0,0.0,False,0.6,0.0,11.57,5.0,2.0,5.1,3.89,0.06,0.0,Chelsea,False,Liverpool,,-1.08
Mykhailo Mudryk,Chelsea,Liverpool,,False,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,False,0.6,0.0,10.12,5.0,2.0,5.1,3.89,0.06,1.0,Chelsea,True,Newcastle United,,0.67
Mykhailo Mudryk,Chelsea,Newcastle United,2024-10-27,True,Sub,23.0,0.0,0.12,0.0,0.0,1.0,1.0,0.0,2.5,0.0,0.0,0.0,False,0.4,0.0,11.56,5.0,2.0,5.1,3.89,0.06,,Chelsea,False,Manchester United,,-0.41
,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea,True,Arsenal,,-0.32
,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelsea,False,Leicester City,,-0.22
