name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Alejandro Garnacho,Man Utd,Wolverhampton,2023-08-14,True,67,0.0,0.18,0.0,0.0,3,4.0,0.0,1.5,0,1,3.0,0.18,67.0,2.0,Man Utd,False,Tottenham,,-0.36
Alejandro Garnacho,Man Utd,Tottenham,2023-08-19,False,65,0.0,0.25,0.0,0.07,2,3.0,1.0,6.3,0,1,2.5,0.22,66.0,0.0,Man Utd,True,Nottingham Forest,,1.55
Alejandro Garnacho,Man Utd,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,1.67,0.14,44.0,1.0,Man Utd,False,Arsenal,,-0.48
Alejandro Garnacho,Man Utd,Arsenal,2023-09-03,False,6,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,1.5,0.11,34.5,1.0,Man Utd,True,Brighton,,-0.66
Alejandro Garnacho,Man Utd,Brighton,2023-09-16,True,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,1.4,0.09,28.6,0.0,Man Utd,False,Burnley,,0.0
Alejandro Garnacho,Man Utd,Burnley,,False,0,,,,,0,,,0.0,0,0,0.8,0.05,23.83,1.0,Man Utd,True,Crystal Palace,,0.88
Alejandro Garnacho,Man Utd,Crystal Palace,2023-09-30,True,29,0.0,0.13,0.0,0.0,1,3.0,0.0,4.7,0,0,0.6,0.03,24.57,1.0,Man Utd,True,Brentford,,0.79
Alejandro Garnacho,Man Utd,Brentford,2023-10-07,True,27,0.0,0.05,0.0,0.14,1,1.0,3.0,5.2,0,0,0.8,0.04,24.88,1.0,Man Utd,False,Sheffield,,-0.61
Alejandro Garnacho,Man Utd,Sheffield,2023-10-21,False,26,0.0,0.15,0.0,0.0,1,2.0,0.0,2.0,0,0,0.8,0.07,25.0,1.0,Man Utd,True,Manchester City,,-0.96
Alejandro Garnacho,Man Utd,Manchester City,2023-10-29,True,17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0.8,0.07,24.2,2.0,Man Utd,False,Fulham,,0.86
Alejandro Garnacho,Man Utd,Fulham,2023-11-04,False,90,0.0,0.06,0.0,0.12,2,1.0,2.0,7.2,0,1,1.2,0.08,30.18,3.0,Man Utd,True,Luton,,
Alejandro Garnacho,Man Utd,Luton,2023-11-11,True,67,0.0,0.06,0.0,0.21,3,1.0,3.0,6.6,0,1,1.6,0.06,33.25,8.0,Man Utd,False,Everton,,-0.24
Alejandro Garnacho,Man Utd,Everton,2023-11-26,False,71,1.0,0.44,0.0,0.0,8,3.0,0.0,6.6,0,1,3.0,0.14,36.15,2.0,Man Utd,False,Newcastle United,,-0.41
Alejandro Garnacho,Man Utd,Newcastle United,2023-12-02,False,90,0.0,0.11,0.0,0.02,2,1.0,1.0,4.8,0,1,3.2,0.13,40.0,4.0,Man Utd,True,Chelsea,,-0.25
Alejandro Garnacho,Man Utd,Chelsea,2023-12-06,True,90,0.0,0.71,1.0,0.7,4,8.0,3.0,11.9,0,1,3.8,0.48,43.33,2.0,Man Utd,True,Bournemouth,,1.22
Alejandro Garnacho,Man Utd,Bournemouth,2023-12-09,True,78,0.0,0.17,0.0,0.19,2,4.0,2.0,7.6,0,1,3.8,0.5,45.5,3.0,Man Utd,False,Liverpool,,-1.01
