name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Eberechi Eze,Crystal Palace,Brentford,2024-08-18,False,90.0,0.0,0.44,0.0,0.0,2.0,7.0,0.0,8.4,0.0,1.0,2.0,0.44,90.0,11.0,4.0,9.36,6.85,0.07,2.0,Crystal Palace,True,West Ham,,0.48
Eberechi Eze,Crystal Palace,West Ham,2024-08-24,True,90.0,0.0,0.52,0.0,0.29,2.0,5.0,4.0,10.9,0.0,1.0,2.0,0.48,90.0,11.0,4.0,9.36,6.85,0.07,10.0,Crystal Palace,False,Chelsea,,-0.9
Eberechi Eze,Crystal Palace,Chelsea,2024-09-01,False,90.0,1.0,0.15,0.0,0.04,10.0,3.0,1.0,7.5,3.0,1.0,4.67,0.37,90.0,11.0,4.0,9.36,6.85,0.07,2.0,Crystal Palace,True,Leicester City,,0.47
Eberechi Eze,Crystal Palace,Leicester City,2024-09-14,True,90.0,0.0,0.5,0.0,0.44,2.0,3.0,3.0,8.3,0.0,1.0,4.0,0.4,90.0,11.0,4.0,9.36,6.85,0.07,3.0,Crystal Palace,True,Manchester United,,0.39
Eberechi Eze,Crystal Palace,Manchester United,2024-09-21,True,90.0,0.0,0.73,0.0,0.04,3.0,2.0,2.0,6.6,0.0,1.0,3.8,0.47,90.0,11.0,4.0,9.36,6.85,0.07,2.0,Crystal Palace,False,Everton,,-0.39
Eberechi Eze,Crystal Palace,Everton,2024-09-28,False,90.0,0.0,0.17,0.0,0.07,2.0,5.0,2.0,5.4,0.0,1.0,3.8,0.41,90.0,11.0,4.0,9.36,6.85,0.07,2.0,Crystal Palace,True,Liverpool,,0.24
Eberechi Eze,Crystal Palace,Liverpool,2024-10-05,True,90.0,0.0,0.15,0.0,0.25,2.0,2.0,2.0,6.8,0.0,1.0,3.8,0.34,90.0,11.0,4.0,9.36,6.85,0.07,2.0,Crystal Palace,False,Nottingham Forest,,-0.54
Eberechi Eze,Crystal Palace,Nottingham Forest,2024-10-21,False,90.0,0.0,0.18,0.0,0.09,2.0,6.0,1.0,6.4,0.0,1.0,2.2,0.35,90.0,11.0,4.0,9.36,6.85,0.07,6.0,Crystal Palace,True,Tottenham,,0.74
Eberechi Eze,Crystal Palace,Tottenham,2024-10-27,True,90.0,0.0,0.16,1.0,0.46,6.0,4.0,1.0,7.3,0.0,1.0,3.0,0.48,90.0,11.0,4.0,9.36,6.85,0.07,0.0,Crystal Palace,False,Wolverhampton,,-0.53
Eberechi Eze,Crystal Palace,Wolverhampton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,2.4,0.33,81.0,11.0,4.0,9.36,6.85,0.07,0.0,Crystal Palace,True,Fulham,,0.27
Eberechi Eze,Crystal Palace,Fulham,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,2.0,0.3,73.64,11.0,4.0,9.36,6.85,0.07,,Crystal Palace,False,Aston Villa,,0.11
,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,Crystal Palace,True,Newcastle United,,0.67
,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,Crystal Palace,False,Ipswich Town,,
