Opponent,Home Difficulty,Away Difficulty
Arsenal,-1.257495585239457,
Aston Villa,,3.2195345522412615
Bournemouth,-6.762697364882618,6.494160537051426
Brentford,,0.07813120140901504
Brighton,0.3304828727321465,-5.1905411130186545
Burnley,-3.9652322655965504,-4.823388038893432
Chelsea,-1.3150976264176433,-1.496333849043979
Crystal Palace,-3.812826808949417,-0.6825129341675996
Fulham,1.1548364138179306,-1.723541446315087
Ipswich Town,,
Leeds United,3.6310410835248366,
Leicester City,,-1.6317727653047642
Liverpool,0.7566454079971354,2.0333373424536
Luton,0.3627822231840019,
Manchester City,1.5934600296904204,0.20749576409207438
Manchester United,3.203900553705775,-2.7886204065788838
Newcastle United,-3.944889194452602,2.1243633365759784
Norwich,-4.47041841648098,1.636564487416163
Nottingham Forest,0.6075191802532962,-1.4157980279322433
Sheffield,,-1.680032372068602
Southampton,-2.7117838952949,-1.9837292056160711
Tottenham,1.661442532223652,1.623966506370969
Watford,3.336331611929884,
West Ham,0.696481811984821,-1.2738067680738716
Wolverhampton,1.5505677723050406,0.3309526754325524
