Opponent,Home Difficulty,Away Difficulty
Arsenal,,-0.1826027921284955
Aston Villa,-3.455853130361014,3.8905469896630502
Bournemouth,1.22661908691277,4.721955046462249
Brentford,2.058979382128996,
Brighton,-0.017349217987261745,0.8548931185727424
Burnley,2.52488503652741,
Chelsea,1.7181932101843684,
Crystal Palace,,-0.5502375893451984
Everton,1.836094341652295,0.11316625385457546
Ipswich Town,,
Leeds United,,-1.5090106267321914
Leicester City,,-2.2181671720812504
Liverpool,-0.05027913828876229,1.0026471700868114
Luton,1.3403663550956013,
Manchester City,,1.9982771916917228
Manchester United,1.8605089976462064,
Newcastle United,4.430905778808903,3.670262289944777
Norwich,,
Nottingham Forest,-5.026727123671186,-0.5132147160957539
Sheffield,-1.9389289078163734,
Southampton,-0.1714203183058962,
Tottenham,,2.097562983092629
Watford,,
West Ham,-4.56857429371772,6.123929186065554
Wolverhampton,1.302618692100277,0.07623730387670213
