name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-12-28,0,West Ham,7028,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-08-14,0,Aston Villa,20264,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-08-21,0,Brighton,16511,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-10-30,0,Southampton,8204,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-08-29,0,Tottenham,14508,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-11-28,0,Leeds United,7715,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-02-26,0,Manchester United,6401,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-12-04,0,Manchester City,7486,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-01-01,0,Tottenham,6911,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-02-08,0,West Ham,6574,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-12-10,0,Brentford,7336,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-11-07,0,Arsenal,8044,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-12-01,0,Chelsea,7622,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-11-20,0,Manchester United,7887,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-02-12,0,Brighton,6542,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-01-15,0,Newcastle United,6658,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-01-21,0,Norwich,6630,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-02-05,0,Burnley,6630,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-03-13,0,Southampton,6335,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-02-19,0,Aston Villa,6470,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-02-23,0,Crystal Palace,6470,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-03-06,0,Arsenal,6371,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-03-10,0,Wolverhampton,6371,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-04-09,0,Leicester City,6272,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-04-02,0,Liverpool,6287,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-04-30,0,Burnley,6220,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-04-23,0,Manchester City,6236,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-04-16,0,Brentford,6249,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-09-11,0,Wolverhampton,11718,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-09-18,0,Norwich,10662,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-09-25,0,Newcastle United,9905,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-10-23,0,Everton,8513,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-10-02,0,Leicester City,9256,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2021-10-16,0,Liverpool,8784,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-05-22,0,Chelsea,6133,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-05-15,0,Leeds United,6163,0,True
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-05-07,0,Crystal Palace,6192,0,False
Adedapo Awokoya-Mebude,FWD,Watford,0,0.0,2022-05-11,0,Everton,6192,0,True
