name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,0,1.6,2022-02-08,1,Everton,19028,1,True
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,0,0.0,2022-02-13,1,Aston Villa,20761,1,True
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,1,1.6,2022-03-13,90,Chelsea,20102,1,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,1,5.0,2022-03-17,90,Everton,20102,2,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,0,1.1,2022-03-05,11,Brighton,16335,1,True
Bruno Guimarães Rodriguez Moura,MID,Newcastle,3,0,1,10.7,2022-03-10,66,Southampton,16335,10,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,0,0.1,2022-02-19,2,West Ham,18733,1,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,0,2.8,2022-02-26,26,Brentford,17954,1,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,1,0,5.4,2022-04-08,87,Wolverhampton,21855,3,True
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,2,3.4,2022-04-03,31,Tottenham,20472,1,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,1,0.0,2022-05-22,90,Burnley,277262,2,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,1,2.9,2022-04-30,90,Liverpool,182594,2,True
Bruno Guimarães Rodriguez Moura,MID,Newcastle,2,1,0,9.3,2022-04-23,86,Norwich,140952,9,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,0,5,3.4,2022-05-08,90,Manchester City,162898,1,False
Bruno Guimarães Rodriguez Moura,MID,Newcastle,3,0,1,22.0,2022-04-17,90,Leeds United,43787,14,True
Bruno Guimarães Rodriguez Moura,MID,Newcastle,0,1,0,7.1,2022-04-20,90,Crystal Palace,43787,6,True
Bruno Guimarães Rodriguez Moura,MID,Newcastle,3,1,0,11.3,2022-05-16,90,Arsenal,170327,11,True
