name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-03-19,0,Arsenal,1302,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-12-26,0,Chelsea,1349,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-12-14,0,Norwich,1364,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-08-14,0,Watford,3083,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-08-21,0,Newcastle United,3302,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-10-31,0,West Ham,1476,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-02-26,0,Brighton,1312,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-08-28,0,Brentford,3081,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-11-27,0,Crystal Palace,1411,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-01-02,0,Brentford,1342,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-12-11,0,Liverpool,1373,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-12-05,0,Leeds United,1388,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-02-09,0,Leicester City,1319,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-11-05,0,Southampton,1452,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-12-01,0,Manchester City,1399,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-11-20,0,Brighton,1426,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-01-15,0,Manchester United,1329,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-02-13,0,Newcastle United,1318,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-01-22,0,Everton,1325,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-03-13,0,West Ham,1304,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-02-19,0,Watford,1313,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-03-05,0,Southampton,1310,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-03-10,0,Leicester City,1310,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-04-09,0,Tottenham,1298,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-04-02,0,Wolverhampton,1300,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-05-15,0,Crystal Palace,1290,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-05-19,0,Burnley,1290,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-04-30,0,Norwich,1293,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-04-23,0,Leeds United,1294,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-09-11,0,Chelsea,2299,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-09-18,0,Everton,1951,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-09-25,0,Manchester United,1742,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-10-22,0,Arsenal,1526,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-10-03,0,Tottenham,1647,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2021-10-16,0,Wolverhampton,1574,0,True
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-05-22,0,Manchester City,1286,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-05-07,0,Burnley,1292,0,False
Conor Hourihane,MID,Aston Villa,0,0,0,0.0,2022-05-10,0,Liverpool,1292,0,True
