name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Dejan Kulusevski,MID,Spurs,0,0,1,7.6,2022-03-20,90,West Ham,1213208,2,True
Dejan Kulusevski,MID,Spurs,0,1,0,13.4,2022-02-26,77,Leicester City,94256,8,False
Dejan Kulusevski,MID,Spurs,0,0,2,1.4,2022-02-09,14,Southampton,10039,1,True
Dejan Kulusevski,MID,Spurs,0,1,0,4.8,2022-02-13,62,Wolverhampton,9065,2,True
Dejan Kulusevski,MID,Spurs,0,0,2,4.4,2022-03-12,77,Manchester United,935588,5,False
Dejan Kulusevski,MID,Spurs,0,1,0,9.5,2022-03-16,90,Brighton,935588,6,False
Dejan Kulusevski,MID,Spurs,1,0,2,9.5,2022-02-19,90,Manchester City,9883,11,False
Dejan Kulusevski,MID,Spurs,0,0,1,8.2,2022-02-23,90,Burnley,9883,2,False
Dejan Kulusevski,MID,Spurs,1,1,0,10.6,2022-03-07,90,Everton,187928,10,True
Dejan Kulusevski,MID,Spurs,1,0,1,10.1,2022-04-03,75,Newcastle United,1131724,6,True
Dejan Kulusevski,MID,Spurs,1,1,0,8.7,2022-04-09,83,Aston Villa,1140565,12,False
Dejan Kulusevski,MID,Spurs,1,0,1,6.7,2022-05-01,35,Leeds United,1122187,8,True
Dejan Kulusevski,MID,Spurs,0,1,0,0.1,2022-04-16,63,Brighton,1225244,2,True
Dejan Kulusevski,MID,Spurs,0,1,0,8.3,2022-04-23,90,Brentford,1177069,3,False
Dejan Kulusevski,MID,Spurs,3,1,0,0.0,2022-05-22,67,Norwich,971599,16,False
Dejan Kulusevski,MID,Spurs,0,0,1,1.4,2022-05-07,84,Liverpool,1101428,2,False
Dejan Kulusevski,MID,Spurs,0,1,0,2.2,2022-05-12,71,Arsenal,1101428,3,True
Dejan Kulusevski,MID,Spurs,0,0,0,0.0,2022-05-15,11,Burnley,965727,0,True
