name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,total_points,was_home
Erik Pieters,DEF,Burnley,0,0,0,0.5,2021-12-30,6,Manchester United,0,8042,1,False
Erik Pieters,DEF,Burnley,0,0,0,0.2,2021-08-21,11,Liverpool,0,13362,1,False
Erik Pieters,DEF,Burnley,0,0,1,1.5,2022-02-26,59,Crystal Palace,0,76247,1,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-03-01,0,Leeds United,0,76247,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-08-14,0,Brighton,0,13554,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-08-29,0,Leicester City,0,12528,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-12-12,0,West Ham,0,8156,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-01-02,0,Leicester City,0,8062,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-10-30,0,Brentford,0,8833,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-05-15,0,Tottenham,0,15425,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-05-19,0,Aston Villa,0,15425,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-11-20,0,Crystal Palace,0,8534,0,True
Erik Pieters,DEF,Burnley,0,0,1,4.0,2022-02-08,90,Manchester United,0,10127,1,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-12-01,0,Wolverhampton,0,8250,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-11-06,2,Chelsea,0,8600,1,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-12-04,0,Newcastle United,0,8191,0,False
Erik Pieters,DEF,Burnley,0,0,1,2.0,2022-02-13,90,Liverpool,0,15790,2,True
Erik Pieters,DEF,Burnley,0,1,0,3.0,2022-01-23,90,Arsenal,0,7729,6,False
Erik Pieters,DEF,Burnley,0,1,0,4.5,2022-02-05,90,Watford,0,7729,6,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-04-10,0,Norwich,0,17095,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-04-02,0,Manchester City,0,18951,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-04-06,0,Everton,0,18951,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-03-12,0,Brentford,0,24189,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-03-05,0,Chelsea,0,31497,0,True
Erik Pieters,DEF,Burnley,1,1,0,1.9,2022-02-19,90,Brighton,0,35538,7,False
Erik Pieters,DEF,Burnley,0,1,0,3.6,2022-02-23,90,Tottenham,0,35538,6,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-04-30,0,Watford,0,13432,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-04-24,0,Wolverhampton,0,14255,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-04-17,0,West Ham,0,15030,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-04-21,0,Southampton,0,15030,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-09-13,0,Everton,0,11414,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-09-18,0,Arsenal,0,10577,0,True
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-09-25,0,Leeds United,0,9885,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-10-02,0,Norwich,0,9491,0,True
Erik Pieters,DEF,Burnley,0,0,2,2.0,2021-10-16,90,Manchester City,0,9155,1,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2021-10-23,0,Southampton,0,9036,0,False
Erik Pieters,DEF,Burnley,0,0,0,0.0,2022-05-22,0,Newcastle United,0,12800,0,True
Erik Pieters,DEF,Burnley,0,0,0,3.8,2022-05-07,18,Aston Villa,0,12136,4,True
