name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Folarin Balogun,FWD,Arsenal,0,0.0,2022-03-19,0,Aston Villa,23768,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-12-18,0,Leicester City,33104,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-12-26,0,Norwich,30954,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-12-15,0,West Ham,29142,0,True
Folarin Balogun,FWD,Arsenal,0,0.9,2021-08-13,58,Brentford,16628,1,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-10-30,0,Leeds United,30696,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-08-28,0,Manchester City,36210,0,False
Folarin Balogun,FWD,Arsenal,0,1.0,2021-08-22,11,Chelsea,36294,1,True
Folarin Balogun,FWD,Arsenal,0,0.0,2021-11-27,0,Newcastle United,29534,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2021-12-06,0,Everton,29598,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2022-02-10,0,Wolverhampton,26012,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-11-20,0,Liverpool,29783,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-12-11,0,Southampton,29477,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2021-11-07,0,Watford,30035,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2021-12-02,0,Manchester United,29501,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2022-01-23,0,Burnley,26871,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-03-13,0,Leeds United,24007,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-03-16,0,Liverpool,24007,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-03-06,0,Watford,24275,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2022-02-19,0,Brentford,25038,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-02-24,0,Wolverhampton,25038,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-01-01,0,Manchester City,29829,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2021-09-11,0,Norwich,32475,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2021-09-18,0,Burnley,34151,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-09-26,0,Tottenham,33006,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-05-22,0,Everton,22884,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2021-10-02,0,Brighton,30755,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2021-10-18,0,Crystal Palace,30175,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2021-10-22,0,Aston Villa,30470,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-05-08,0,Leicester City,23074,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-05-12,0,Tottenham,23074,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2022-04-09,0,Brighton,23546,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-04-04,0,Crystal Palace,23632,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2022-05-01,0,West Ham,23199,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2022-05-16,0,Newcastle United,22970,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2022-04-23,0,Manchester United,23290,0,True
Folarin Balogun,FWD,Arsenal,0,0.0,2022-04-16,0,Southampton,23410,0,False
Folarin Balogun,FWD,Arsenal,0,0.0,2022-04-20,0,Chelsea,23410,0,False
