name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Ivan Toney,FWD,Brentford,0,5.4,2022-03-20,90,Leeds United,1741460,2,False
Ivan Toney,FWD,Brentford,0,8.2,2021-12-26,90,Brighton,1091551,1,False
Ivan Toney,FWD,Brentford,0,1.5,2021-12-29,90,Manchester City,1003057,2,True
Ivan Toney,FWD,Brentford,0,2.6,2021-08-13,90,Arsenal,2065056,2,True
Ivan Toney,FWD,Brentford,0,7.2,2021-08-21,90,Crystal Palace,2181813,2,False
Ivan Toney,FWD,Brentford,0,4.3,2021-10-30,90,Burnley,1739899,2,False
Ivan Toney,FWD,Brentford,1,7.9,2021-08-28,90,Aston Villa,1707531,6,False
Ivan Toney,FWD,Brentford,0,3.7,2022-02-26,28,Newcastle United,751813,1,True
Ivan Toney,FWD,Brentford,3,7.3,2021-11-28,90,Everton,1821342,9,True
Ivan Toney,FWD,Brentford,0,1.6,2022-01-02,90,Aston Villa,1266111,1,True
Ivan Toney,FWD,Brentford,0,6.3,2022-01-11,90,Southampton,1266111,1,False
Ivan Toney,FWD,Brentford,0,0.0,2021-12-05,0,Leicester City,1946010,0,False
Ivan Toney,FWD,Brentford,0,0.0,2021-12-10,0,Watford,1279628,0,True
Ivan Toney,FWD,Brentford,0,0.0,2022-02-09,0,Manchester City,977472,0,False
Ivan Toney,FWD,Brentford,0,8.0,2021-12-02,90,Tottenham,1854659,2,False
Ivan Toney,FWD,Brentford,0,3.4,2021-11-06,90,Norwich,1975809,1,True
Ivan Toney,FWD,Brentford,0,10.2,2021-11-20,90,Newcastle United,1830244,6,False
Ivan Toney,FWD,Brentford,0,6.0,2022-01-16,90,Liverpool,1001060,2,False
Ivan Toney,FWD,Brentford,2,16.3,2022-01-19,90,Manchester United,1001060,8,True
Ivan Toney,FWD,Brentford,0,0.0,2022-02-12,0,Crystal Palace,876783,0,True
Ivan Toney,FWD,Brentford,1,10.9,2022-01-22,90,Wolverhampton,995798,7,True
Ivan Toney,FWD,Brentford,3,15.1,2022-03-12,90,Burnley,919864,12,True
Ivan Toney,FWD,Brentford,0,0.0,2022-02-19,0,Arsenal,782563,0,False
Ivan Toney,FWD,Brentford,3,18.6,2022-03-05,90,Norwich,746324,17,False
Ivan Toney,FWD,Brentford,3,20.1,2022-04-10,90,West Ham,1493143,12,True
Ivan Toney,FWD,Brentford,0,12.5,2022-04-02,90,Chelsea,1350178,5,False
Ivan Toney,FWD,Brentford,0,5.6,2022-05-02,90,Manchester United,1636686,2,False
Ivan Toney,FWD,Brentford,0,7.5,2022-04-23,90,Tottenham,1657714,2,True
Ivan Toney,FWD,Brentford,0,5.2,2022-04-16,90,Watford,1668273,1,False
Ivan Toney,FWD,Brentford,0,5.5,2021-09-11,90,Brighton,1395526,2,True
Ivan Toney,FWD,Brentford,3,11.3,2021-09-18,90,Wolverhampton,1107587,12,False
Ivan Toney,FWD,Brentford,0,7.5,2021-09-25,90,Liverpool,1158358,5,True
Ivan Toney,FWD,Brentford,0,9.3,2021-10-24,90,Leeds United,1486617,2,True
Ivan Toney,FWD,Brentford,0,6.4,2021-10-03,90,West Ham,1235115,2,False
Ivan Toney,FWD,Brentford,0,5.3,2021-10-16,90,Chelsea,1270414,2,True
Ivan Toney,FWD,Brentford,0,0.0,2022-05-22,90,Leicester City,1754085,1,True
Ivan Toney,FWD,Brentford,0,11.4,2022-05-07,90,Southampton,1465414,5,True
Ivan Toney,FWD,Brentford,0,5.3,2022-05-15,90,Everton,1475856,2,False
