name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-01-02,0,Liverpool,0,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-01-15,0,Manchester City,110,0,False
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-01-18,0,Brighton,110,0,False
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-01-23,0,Tottenham,107,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-04-09,0,Southampton,343,0,False
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-04-02,0,Brentford,322,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-03-13,0,Newcastle United,272,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-03-05,0,Burnley,243,0,False
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-03-10,0,Norwich,243,0,False
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-02-19,0,Crystal Palace,185,0,False
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-05-01,0,Everton,385,0,False
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-04-24,0,West Ham,376,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-04-28,0,Manchester United,376,0,False
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-04-20,0,Arsenal,369,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-05-22,0,Watford,451,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-05-19,0,Leeds United,442,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-05-07,0,Wolverhampton,406,0,True
Lewis Hall,MID,Chelsea,0,0,0,0.0,2022-05-11,0,Leicester City,406,0,False
