name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,total_points,was_home
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-12-19,0,Newcastle United,0,3752,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-12-26,0,Leeds United,0,3768,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-02-26,0,Everton,0,4769,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-12-29,0,Brentford,0,3810,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-01-01,0,Arsenal,0,3817,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-12-14,0,Leicester City,0,3682,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-01-15,0,Chelsea,0,4644,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-10-30,0,Crystal Palace,0,2719,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-11-28,0,West Ham,0,3261,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-12-04,0,Watford,0,3428,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-11-21,0,Everton,0,3195,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-02-09,0,Brentford,0,4203,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-12-11,0,Wolverhampton,0,3593,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-11-06,0,Manchester United,0,3001,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-12-01,0,Aston Villa,0,3333,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-02-12,0,Norwich,0,4359,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-01-22,0,Southampton,0,4046,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-03-14,0,Crystal Palace,0,5466,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-03-06,0,Manchester United,0,4814,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-02-19,0,Tottenham,0,5317,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-04-10,0,Liverpool,0,5404,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-04-02,0,Burnley,0,5319,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-04-20,0,Brighton,0,5594,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-04-30,0,Leicester City,0,5662,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-04-23,0,Watford,0,5628,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-09-18,0,Southampton,0,0,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-09-25,0,Chelsea,0,1159,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-10-03,0,Liverpool,0,1528,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-10-23,0,Brighton,0,2302,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2021-10-16,0,Burnley,0,2005,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-05-22,0,Aston Villa,0,6043,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-05-08,0,Newcastle United,0,5705,0,True
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-05-11,0,Wolverhampton,0,5705,0,False
Luke Mbete,DEF,Man City,0,0,0,0.0,2022-05-15,0,West Ham,0,5930,0,False
