name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Michail Antonio,FWD,West Ham,0,10.5,2022-02-27,90,Wolverhampton,3024993,4,True
Michail Antonio,FWD,West Ham,0,1.5,2022-03-20,55,Tottenham,2624842,1,False
Michail Antonio,FWD,West Ham,1,10.9,2022-01-01,90,Crystal Palace,3880687,7,False
Michail Antonio,FWD,West Ham,0,0.7,2022-01-12,87,Norwich,3880687,2,True
Michail Antonio,FWD,West Ham,0,8.3,2022-01-16,90,Leicester City,3610165,4,True
Michail Antonio,FWD,West Ham,0,10.8,2021-12-26,45,Southampton,2698715,5,True
Michail Antonio,FWD,West Ham,0,11.7,2021-12-28,90,Watford,3224676,5,False
Michail Antonio,FWD,West Ham,0,2.4,2021-12-15,90,Arsenal,3504865,2,False
Michail Antonio,FWD,West Ham,3,20.6,2021-08-23,88,Leeds United,2152885,16,True
Michail Antonio,FWD,West Ham,3,12.9,2021-08-15,90,Newcastle United,1617415,13,False
Michail Antonio,FWD,West Ham,0,1.2,2021-11-28,90,Manchester City,3852686,2,False
Michail Antonio,FWD,West Ham,2,21.2,2021-08-28,90,Crystal Palace,3317114,11,True
Michail Antonio,FWD,West Ham,0,1.6,2021-12-12,90,Burnley,3518849,2,False
Michail Antonio,FWD,West Ham,0,5.1,2021-10-31,90,Aston Villa,4136487,2,False
Michail Antonio,FWD,West Ham,0,9.4,2022-04-03,90,Everton,2698131,5,True
Michail Antonio,FWD,West Ham,0,0.5,2022-04-10,65,Brentford,2716476,1,False
Michail Antonio,FWD,West Ham,0,4.3,2021-11-20,90,Wolverhampton,4191532,2,False
Michail Antonio,FWD,West Ham,0,1.0,2022-02-08,90,Watford,3628246,2,True
Michail Antonio,FWD,West Ham,0,5.5,2021-12-01,90,Brighton,3775385,1,True
Michail Antonio,FWD,West Ham,0,8.4,2021-12-04,90,Chelsea,3363968,5,True
Michail Antonio,FWD,West Ham,0,2.0,2021-11-07,90,Liverpool,4016151,2,True
Michail Antonio,FWD,West Ham,0,1.5,2022-02-13,90,Leeds United,3447545,2,False
Michail Antonio,FWD,West Ham,0,2.8,2022-01-22,90,Manchester United,3736105,2,False
Michail Antonio,FWD,West Ham,0,0.1,2022-05-01,19,Arsenal,2396183,1,True
Michail Antonio,FWD,West Ham,0,0.0,2022-04-24,0,Chelsea,2495731,0,False
Michail Antonio,FWD,West Ham,0,10.3,2022-04-17,90,Burnley,2600050,2,True
Michail Antonio,FWD,West Ham,0,2.4,2022-03-13,51,Aston Villa,2711253,1,True
Michail Antonio,FWD,West Ham,0,5.4,2022-03-05,90,Liverpool,2814508,2,False
Michail Antonio,FWD,West Ham,0,3.8,2022-02-19,90,Newcastle United,3155345,2,True
Michail Antonio,FWD,West Ham,0,4.5,2022-05-15,90,Manchester City,2158457,5,True
Michail Antonio,FWD,West Ham,0,4.3,2021-09-11,90,Southampton,4273709,-1,False
Michail Antonio,FWD,West Ham,0,0.0,2021-09-19,0,Manchester United,2443566,0,True
Michail Antonio,FWD,West Ham,3,18.8,2021-09-25,90,Leicester City,3358752,8,False
Michail Antonio,FWD,West Ham,0,10.4,2021-10-03,90,Brentford,3784079,2,True
Michail Antonio,FWD,West Ham,0,12.1,2021-10-17,90,Everton,3863555,1,False
Michail Antonio,FWD,West Ham,1,10.4,2021-10-24,90,Tottenham,3837127,7,True
Michail Antonio,FWD,West Ham,1,0.0,2022-05-22,90,Brighton,2226371,7,False
Michail Antonio,FWD,West Ham,0,10.3,2022-05-08,45,Norwich,2272720,5,False
