name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,total_points,was_home
Tomas Soucek,MID,West Ham,0,0,3,0.6,2022-03-20,90,Tottenham,344588,2,False
Tomas Soucek,MID,West Ham,0,0,3,7.2,2021-12-26,90,Southampton,371688,2,True
Tomas Soucek,MID,West Ham,2,0,1,8.4,2021-12-28,90,Watford,367498,9,False
Tomas Soucek,MID,West Ham,0,0,2,3.9,2021-12-15,90,Arsenal,381639,2,False
Tomas Soucek,MID,West Ham,0,0,1,4.0,2021-08-23,90,Leeds United,830636,2,True
Tomas Soucek,MID,West Ham,1,0,2,15.0,2021-08-15,90,Newcastle United,753486,8,False
Tomas Soucek,MID,West Ham,0,0,2,1.2,2021-11-28,90,Manchester City,387394,2,False
Tomas Soucek,MID,West Ham,0,0,2,4.5,2021-08-28,90,Crystal Palace,775679,2,True
Tomas Soucek,MID,West Ham,0,1,0,6.5,2021-12-12,90,Burnley,391533,3,False
Tomas Soucek,MID,West Ham,0,0,1,5.5,2021-10-31,90,Aston Villa,451388,2,False
Tomas Soucek,MID,West Ham,0,0,1,3.2,2021-11-20,90,Wolverhampton,405504,2,False
Tomas Soucek,MID,West Ham,0,1,0,11.1,2022-02-08,90,Watford,339024,3,True
Tomas Soucek,MID,West Ham,2,0,1,8.9,2021-12-01,90,Brighton,381320,9,True
Tomas Soucek,MID,West Ham,0,0,2,1.4,2021-11-07,90,Liverpool,425083,1,True
Tomas Soucek,MID,West Ham,3,1,0,10.7,2022-02-27,90,Wolverhampton,325292,11,True
Tomas Soucek,MID,West Ham,0,0,2,4.0,2021-12-04,90,Chelsea,384735,2,True
Tomas Soucek,MID,West Ham,0,0,2,3.7,2022-01-01,90,Crystal Palace,416229,2,False
Tomas Soucek,MID,West Ham,0,0,0,0.0,2022-01-12,0,Norwich,416229,0,True
Tomas Soucek,MID,West Ham,0,0,2,1.2,2022-02-13,90,Leeds United,332617,2,False
Tomas Soucek,MID,West Ham,0,0,1,3.2,2022-01-22,90,Manchester United,342432,2,False
Tomas Soucek,MID,West Ham,0,0,0,0.0,2022-01-16,0,Leicester City,366568,0,True
Tomas Soucek,MID,West Ham,0,0,1,4.0,2022-03-13,90,Aston Villa,320623,2,True
Tomas Soucek,MID,West Ham,0,0,1,4.9,2022-03-05,90,Liverpool,317348,2,False
Tomas Soucek,MID,West Ham,0,0,1,5.1,2022-02-19,90,Newcastle United,325973,2,True
Tomas Soucek,MID,West Ham,0,0,2,3.4,2022-04-10,90,Brentford,325760,2,False
Tomas Soucek,MID,West Ham,0,0,1,1.6,2022-04-03,90,Everton,328920,2,True
Tomas Soucek,MID,West Ham,0,0,2,4.0,2022-05-15,90,Manchester City,312388,2,True
Tomas Soucek,MID,West Ham,0,1,0,2.9,2021-09-11,90,Southampton,666116,3,False
Tomas Soucek,MID,West Ham,0,0,0,0.3,2022-05-01,13,Arsenal,321469,1,True
Tomas Soucek,MID,West Ham,0,0,2,2.7,2021-09-19,90,Manchester United,595476,2,True
Tomas Soucek,MID,West Ham,0,0,1,2.6,2021-09-25,90,Leicester City,545253,2,False
Tomas Soucek,MID,West Ham,3,0,2,5.9,2021-10-03,90,Brentford,506120,8,True
Tomas Soucek,MID,West Ham,0,0,1,3.9,2022-04-24,90,Chelsea,322297,2,False
Tomas Soucek,MID,West Ham,0,1,0,4.1,2021-10-17,78,Everton,490166,3,False
Tomas Soucek,MID,West Ham,0,1,0,4.6,2021-10-24,90,Tottenham,475297,2,True
Tomas Soucek,MID,West Ham,3,0,1,10.1,2022-04-17,90,Burnley,320409,10,True
Tomas Soucek,MID,West Ham,0,0,3,0.0,2022-05-22,90,Brighton,313355,1,False
Tomas Soucek,MID,West Ham,0,0,0,0.0,2022-05-08,0,Norwich,316213,0,False
