name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,total_points,was_home
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.7,2021-12-19,45,Wolverhampton,0,205993,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.8,2021-12-16,11,Everton,0,194105,1,True
Trevoh Chalobah,DEF,Chelsea,0,0,1,3.1,2021-12-29,45,Brighton,0,207335,1,True
Trevoh Chalobah,DEF,Chelsea,0,0,1,2.3,2021-12-26,45,Aston Villa,0,196375,1,False
Trevoh Chalobah,DEF,Chelsea,0,0,2,1.0,2022-01-02,69,Liverpool,0,201444,1,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2021-10-30,0,Newcastle United,0,479226,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.2,2021-08-28,3,Liverpool,0,187573,1,False
Trevoh Chalobah,DEF,Chelsea,2,1,0,6.3,2021-08-14,90,Crystal Palace,0,8103,14,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-01-15,0,Manchester City,0,181618,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-01-18,0,Brighton,0,181618,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2021-08-22,0,Arsenal,0,243530,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,1,1.9,2021-11-28,90,Manchester United,0,385160,2,True
Trevoh Chalobah,DEF,Chelsea,0,0,1,0.9,2021-12-01,59,Watford,0,432287,1,False
Trevoh Chalobah,DEF,Chelsea,0,1,0,1.0,2021-11-20,90,Leeds United,0,362445,6,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2021-12-04,0,West Ham,0,318402,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2021-12-11,0,Leicester City,0,231052,0,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2021-11-06,0,Burnley,0,435386,0,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-01-23,0,Tottenham,0,170916,0,True
Trevoh Chalobah,DEF,Chelsea,3,1,0,2.6,2022-03-13,90,Newcastle United,0,205529,9,True
Trevoh Chalobah,DEF,Chelsea,1,1,0,4.6,2022-03-05,90,Burnley,0,162181,10,False
Trevoh Chalobah,DEF,Chelsea,0,0,1,8.4,2022-03-10,90,Norwich,0,162181,7,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-02-19,0,Crystal Palace,0,159593,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-04-02,0,Brentford,0,281544,0,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-04-09,0,Southampton,0,267765,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-04-20,0,Arsenal,0,237637,0,True
Trevoh Chalobah,DEF,Chelsea,1,1,0,5.0,2022-04-24,90,West Ham,0,231026,7,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-04-28,0,Manchester United,0,231026,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-05-01,0,Everton,0,227928,0,False
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2021-09-19,0,Tottenham,0,187392,0,False
Trevoh Chalobah,DEF,Chelsea,0,1,0,2.6,2021-09-11,90,Aston Villa,0,166558,6,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-05-22,0,Watford,0,227095,0,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2021-09-25,0,Manchester City,0,163113,0,True
Trevoh Chalobah,DEF,Chelsea,0,0,0,0.0,2022-05-07,0,Wolverhampton,0,216056,0,True
Trevoh Chalobah,DEF,Chelsea,1,1,0,3.3,2022-05-11,90,Leicester City,0,216056,7,False
Trevoh Chalobah,DEF,Chelsea,3,0,1,9.1,2021-10-02,90,Southampton,0,145888,11,True
Trevoh Chalobah,DEF,Chelsea,0,1,0,2.6,2021-10-23,90,Norwich,0,313775,6,True
Trevoh Chalobah,DEF,Chelsea,0,1,0,3.3,2021-10-16,90,Brentford,0,232402,6,False
Trevoh Chalobah,DEF,Chelsea,0,0,1,6.4,2022-05-19,90,Leeds United,0,211181,2,True
