name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-08-07,0,Manchester City,0,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-08-14,0,Nottingham Forest,2544,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-08-21,0,Brighton,4739,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-10-09,0,Fulham,4146,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-10-24,0,Bournemouth,3788,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-10-19,0,Liverpool,3806,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-10-16,0,Southampton,3984,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-10-30,0,Manchester United,3680,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-12-26,0,Arsenal,3313,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-12-30,0,Brentford,3278,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-11-06,0,Crystal Palace,3564,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-11-12,0,Leeds United,3480,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-02-25,0,Nottingham Forest,3100,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-04-08,0,Fulham,3053,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-02-19,0,Tottenham,3116,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-01-21,0,Everton,3179,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-03-04,0,Brighton,3091,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-02-11,0,Chelsea,3133,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-02-04,0,Newcastle United,3146,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-01-04,0,Leicester City,3243,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-01-14,0,Wolverhampton,3206,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-03-12,0,Aston Villa,3077,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-04-02,0,Southampton,3061,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-04-05,0,Newcastle United,3061,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-04-23,0,Bournemouth,3039,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-04-16,0,Arsenal,3043,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-04-26,0,Liverpool,3034,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-05-07,0,Manchester United,3026,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-09-18,0,Everton,4596,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-04-29,0,Crystal Palace,3033,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-05-03,0,Manchester City,3033,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-05-14,0,Brentford,3022,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-08-28,0,Aston Villa,4183,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-08-31,0,Tottenham,7562,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-09-03,0,Chelsea,5531,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-05-28,0,Leeds United,3014,0,0,False
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2023-05-21,0,Leicester City,3017,0,0,True
Armstrong Oko-Flex,MID,West Ham,0,0,0,0.0,2022-10-01,0,Wolverhampton,4401,0,0,True
