name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,starts,total_points,was_home
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-03-18,0,Everton,0,371,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-01,0,Nottingham Forest,0,89,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2022-12-27,0,Bournemouth,0,0,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-21,0,Liverpool,0,451,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-05,0,Manchester City,0,168,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-12,0,Fulham,0,168,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-02-26,0,Tottenham,0,392,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-02-18,0,Southampton,0,408,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-03-04,0,Leicester City,0,387,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-02-03,0,Fulham,0,477,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-04-08,0,Wolverhampton,0,365,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-02-11,0,West Ham,0,435,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-01-15,0,Crystal Palace,0,307,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-03-11,0,Leeds United,0,377,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-04-01,0,Aston Villa,0,367,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-04-04,0,Liverpool,0,367,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-04-15,0,Brighton,0,364,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-06,0,Bournemouth,0,357,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-04-26,0,Brentford,0,359,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-28,0,Newcastle United,0,350,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-13,0,Nottingham Forest,0,353,0,0,True
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-02,0,Arsenal,0,357,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-21,0,Manchester City,0,351,0,0,False
Bashir Humphreys,DEF,Chelsea,0,0,0.0,0,0.0,2023-05-25,0,Manchester United,0,351,0,0,False
