name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Ben Knight,MID,Man City,0,0,0,0.0,2022-10-08,0,Southampton,594,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2022-11-05,0,Fulham,709,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2022-10-16,0,Liverpool,629,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2022-10-29,0,Leeds United,692,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2022-12-31,0,Everton,777,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2022-12-28,0,Leicester City,766,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2022-10-22,0,Brighton,671,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2022-11-12,0,Brentford,721,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-01-22,0,Wolverhampton,818,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-02-18,0,Nottingham Forest,872,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-03-04,0,Newcastle United,918,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-01-05,0,Chelsea,790,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-04-08,0,Southampton,991,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-02-25,0,Bournemouth,914,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-02-05,0,Tottenham,841,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-01-14,0,Manchester United,821,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-01-19,0,Tottenham,821,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-02-12,0,Aston Villa,848,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-02-15,0,Arsenal,848,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-03-11,0,Crystal Palace,943,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2022-09-17,0,Wolverhampton,443,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-04-01,0,Liverpool,982,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2022-08-31,0,Nottingham Forest,116,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-04-15,0,Leeds United,991,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2022-08-27,0,Crystal Palace,0,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2022-09-03,0,Aston Villa,238,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2022-10-02,0,Manchester United,536,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-05-06,0,Leicester City,1029,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-04-26,0,Arsenal,998,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-05-28,0,Brentford,1056,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-05-14,0,Everton,1033,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-04-30,0,Fulham,1005,0,0,False
Ben Knight,MID,Man City,0,0,0,0.0,2023-05-03,0,West Ham,1005,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-05-21,0,Chelsea,1040,0,0,True
Ben Knight,MID,Man City,0,0,0,0.0,2023-05-24,0,Brighton,1040,0,0,False
