name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-03-18,0,Aston Villa,1678,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-01-21,0,Nottingham Forest,476,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-02-18,0,Wolverhampton,1137,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-03-04,0,Arsenal,1744,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-02-25,0,Manchester City,1652,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-04-08,0,Leeds United,1773,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-02-04,0,Brighton,742,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-02-11,0,Newcastle United,969,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-01-14,0,Brentford,0,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-03-11,0,Liverpool,1719,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-04-01,0,Fulham,1899,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-04-04,0,Brighton,1899,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-04-23,0,West Ham,1916,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-04-15,0,Tottenham,1859,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-05-06,0,Chelsea,2260,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-04-27,0,Southampton,1959,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-05-28,0,Everton,2738,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-05-13,0,Crystal Palace,2268,0,0,False
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-04-30,0,Leicester City,2216,0,0,True
Dominic Sadi,FWD,Bournemouth,0,0.0,2023-05-20,0,Manchester United,3639,0,0,True
