name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-03-19,0,Crystal Palace,314230,0,0,True
Eddie Nketiah,FWD,Arsenal,0,2.0,2022-08-13,6,Leeds United,57718,0,1,True
Eddie Nketiah,FWD,Arsenal,0,3.3,2022-08-20,16,Bournemouth,47543,0,1,False
Eddie Nketiah,FWD,Arsenal,0,1.3,2022-08-05,7,Crystal Palace,67198,0,1,False
Eddie Nketiah,FWD,Arsenal,0,0.0,2022-10-09,1,Liverpool,36582,0,1,True
Eddie Nketiah,FWD,Arsenal,0,0.5,2022-10-16,8,Leicester City,36793,0,1,False
Eddie Nketiah,FWD,Arsenal,0,1.9,2022-10-30,15,Nottingham Forest,36550,0,1,True
Eddie Nketiah,FWD,Arsenal,0,2.2,2022-10-23,19,Southampton,36526,0,1,False
Eddie Nketiah,FWD,Arsenal,0,9.0,2022-12-26,90,West Ham,235766,1,6,True
Eddie Nketiah,FWD,Arsenal,2,7.5,2022-12-31,90,Brighton,283638,1,8,False
Eddie Nketiah,FWD,Arsenal,0,0.0,2022-11-06,0,Chelsea,37096,0,0,False
Eddie Nketiah,FWD,Arsenal,0,0.0,2022-11-12,0,Wolverhampton,37427,0,0,False
Eddie Nketiah,FWD,Arsenal,3,18.0,2023-01-22,90,Manchester United,372033,1,13,True
Eddie Nketiah,FWD,Arsenal,0,6.3,2023-02-18,90,Aston Villa,1305603,1,2,False
Eddie Nketiah,FWD,Arsenal,0,0.2,2023-02-25,20,Leeds United,1543965,0,1,False
Eddie Nketiah,FWD,Arsenal,0,5.1,2023-03-01,18,Everton,1543965,0,4,True
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-04-09,0,Liverpool,238821,0,0,False
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-03-04,0,Bournemouth,780279,0,0,True
Eddie Nketiah,FWD,Arsenal,0,5.0,2023-01-03,90,Newcastle United,333874,1,1,True
Eddie Nketiah,FWD,Arsenal,0,5.1,2023-02-11,90,Brentford,1363903,1,2,True
Eddie Nketiah,FWD,Arsenal,0,1.8,2023-02-15,90,Manchester City,1363903,1,4,True
Eddie Nketiah,FWD,Arsenal,0,3.2,2023-02-04,90,Everton,934782,1,2,False
Eddie Nketiah,FWD,Arsenal,0,8.6,2023-01-15,90,Tottenham,377070,1,2,False
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-03-12,0,Fulham,456112,0,0,False
Eddie Nketiah,FWD,Arsenal,0,0.3,2022-09-18,12,Brentford,36624,0,1,False
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-04-01,0,Leicester City,264082,0,0,True
Eddie Nketiah,FWD,Arsenal,0,1.4,2023-04-21,18,Southampton,216815,0,1,True
Eddie Nketiah,FWD,Arsenal,0,6.9,2022-08-27,29,Fulham,41747,0,1,True
Eddie Nketiah,FWD,Arsenal,0,0.3,2022-08-31,2,Aston Villa,40171,0,1,True
Eddie Nketiah,FWD,Arsenal,0,0.4,2022-09-04,16,Manchester United,37407,0,1,False
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-04-16,1,West Ham,223110,0,1,False
Eddie Nketiah,FWD,Arsenal,0,0.4,2023-04-26,10,Manchester City,213875,0,1,False
Eddie Nketiah,FWD,Arsenal,0,0.3,2022-10-01,10,Tottenham,36648,0,1,True
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-05-07,3,Newcastle United,205341,0,0,False
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-05-28,10,Wolverhampton,200992,0,1,True
Eddie Nketiah,FWD,Arsenal,0,1.7,2023-05-14,13,Brighton,202319,0,1,True
Eddie Nketiah,FWD,Arsenal,0,0.0,2023-05-02,0,Chelsea,209919,0,0,True
Eddie Nketiah,FWD,Arsenal,0,0.4,2023-05-20,27,Nottingham Forest,200886,0,1,False
