name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,starts,total_points,was_home
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-03-18,0,Brentford,0,0,0,12889,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-08-13,0,Arsenal,0,0,0,29493,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-08-20,0,Southampton,0,0,0,23206,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-10-20,0,Leicester City,0,0,0,14230,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-08-07,0,Brentford,0,0,0,54290,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-10-15,0,Crystal Palace,0,0,0,14405,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-10-08,0,Bournemouth,0,0,0,14666,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-10-29,0,Manchester City,0,0,0,13936,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-12-26,0,Newcastle United,0,0,0,13355,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-11-05,0,Everton,0,0,0,13780,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-12-30,0,Liverpool,0,0,0,13303,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-10-23,0,Wolverhampton,0,0,0,14133,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-01-21,0,Brighton,0,0,0,13154,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-11-12,0,West Ham,0,0,0,13659,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-01-03,0,Fulham,0,0,0,13284,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-02-19,0,Manchester United,0,0,0,12994,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-03-04,0,Southampton,0,0,0,12933,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-02-25,0,Arsenal,0,0,0,12955,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-02-04,0,Aston Villa,0,0,0,13059,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-04-08,0,Bournemouth,0,0,0,12844,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-02-11,0,Tottenham,0,0,0,13020,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-01-14,0,Nottingham Forest,0,0,0,13207,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-03-11,0,Chelsea,0,0,0,12905,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-04-01,0,Crystal Palace,0,0,0,12865,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-04-04,0,Aston Villa,0,0,0,12865,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-09-17,0,Tottenham,0,0,0,15734,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-04-22,0,Wolverhampton,0,0,0,12814,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-04-15,0,Manchester City,0,0,0,12830,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-08-27,0,Chelsea,0,0,0,20280,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-09-01,0,Manchester United,0,0,0,18742,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-05-08,0,Fulham,0,0,0,12794,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-09-04,0,Brighton,0,0,0,17275,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2022-10-03,0,Nottingham Forest,0,0,0,15089,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-04-25,0,Leicester City,0,0,0,12812,0,0,False
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-05-28,0,West Ham,0,0,0,12770,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-05-15,0,Liverpool,0,0,0,12788,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-05-01,0,Everton,0,0,0,12803,0,0,True
Kasper Schmeichel,GK,Leicester,0,0,0.0,0,2023-05-22,0,Newcastle United,0,0,0,12780,0,0,False
