name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Leander Dendoncker,MID,Aston Villa,0,0,0,1.3,2022-10-16,12,Chelsea,8561,0,1,True
Leander Dendoncker,MID,Wolves,0,1,0,1.4,2022-08-13,90,Fulham,15298,0,3,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-03-18,0,Bournemouth,7140,0,0,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.4,2022-10-10,13,Nottingham Forest,8849,0,1,False
Leander Dendoncker,MID,Aston Villa,0,0,1,0.3,2022-10-20,21,Fulham,8472,0,1,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.2,2023-01-21,2,Southampton,7612,0,1,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-03-04,0,Crystal Palace,7408,0,0,True
Leander Dendoncker,MID,Wolves,0,0,2,7.8,2022-08-06,90,Leicester City,13096,0,2,False
Leander Dendoncker,MID,Aston Villa,0,0,4,1.3,2022-10-29,68,Newcastle United,8428,0,2,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.2,2023-02-04,8,Leeds United,7519,0,1,True
Leander Dendoncker,MID,Aston Villa,0,0,1,1.3,2022-11-06,89,Manchester United,8257,0,2,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.1,2022-12-26,4,Liverpool,8223,0,1,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2022-11-13,7,Brighton,8268,0,1,False
Leander Dendoncker,MID,Wolves,0,0,1,1.7,2022-08-20,32,Tottenham,15953,0,1,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-02-25,0,Everton,7529,0,0,False
Leander Dendoncker,MID,Aston Villa,0,0,2,0.8,2023-02-18,23,Arsenal,7452,0,1,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-01-01,0,Tottenham,8167,0,0,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-04-08,15,Nottingham Forest,7128,0,1,True
Leander Dendoncker,MID,Aston Villa,0,0,0,4.2,2023-01-04,23,Wolverhampton,8060,0,1,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-02-12,0,Manchester City,7462,0,0,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-03-12,0,West Ham,7226,0,0,False
Leander Dendoncker,MID,Aston Villa,0,1,0,3.9,2022-10-23,62,Brentford,8357,0,3,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-01-13,0,Leicester City,7724,0,0,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-04-01,3,Chelsea,7106,0,1,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-04-04,0,Leeds United,7106,0,0,False
Leander Dendoncker,MID,Aston Villa,0,1,0,1.8,2023-04-15,90,Newcastle United,7147,1,3,True
Leander Dendoncker,MID,Aston Villa,0,0,1,1.3,2023-04-22,65,Brentford,7323,1,2,False
Leander Dendoncker,MID,Aston Villa,0,1,0,1.1,2023-04-25,90,Fulham,7283,1,3,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-05-06,0,Wolverhampton,7398,0,0,False
Leander Dendoncker,MID,Aston Villa,0,0,1,0.5,2023-04-30,63,Manchester United,7299,1,2,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-05-13,0,Tottenham,7370,0,0,True
Leander Dendoncker,MID,Wolves,0,0,0,0.0,2022-08-28,1,Newcastle United,13836,0,1,True
Leander Dendoncker,MID,Wolves,0,0,0,0.0,2022-08-31,0,Bournemouth,12802,0,0,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.1,2022-09-16,23,Southampton,9354,0,1,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2023-05-28,0,Brighton,7386,0,0,True
Leander Dendoncker,MID,Aston Villa,0,0,1,0.3,2023-05-20,3,Liverpool,7354,0,1,False
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2022-09-03,0,Manchester City,11115,0,0,True
Leander Dendoncker,MID,Aston Villa,0,0,0,0.0,2022-10-02,0,Leicester City,9170,0,0,False
