name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Luke Plange,FWD,Crystal Palace,0,0.0,2023-03-19,0,,27501,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-08-05,0,,124669,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2022-08-20,0,,126295,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2022-08-15,0,,128337,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-10-22,0,,35666,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-10-09,0,,40864,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2022-10-18,0,,35850,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2022-10-15,0,,38805,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-02-18,0,,28144,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-02-25,0,,27900,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-01-21,0,,28945,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2022-11-12,0,,32432,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-12-31,0,,29832,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-12-26,0,,30149,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2022-10-29,0,,34280,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-02-04,0,,28518,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-04-09,0,,27312,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-11-06,0,,33203,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-02-11,0,,28307,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-03-04,0,,27782,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-01-04,0,,29604,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-01-15,0,,29229,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-03-11,0,,27639,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-03-15,0,,27639,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-01-18,0,,29229,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-04-01,0,,27395,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-04-15,0,,27262,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-04-22,0,,27189,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-04-25,0,,27147,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-04-29,0,,27086,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-05-06,0,,27010,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2023-05-13,0,,26952,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-05-20,0,,26899,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-08-27,0,,115719,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-08-30,0,,94999,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2023-05-28,0,,26854,0,0,True
Luke Plange,FWD,Crystal Palace,0,0.0,2022-09-03,0,,76980,0,0,False
Luke Plange,FWD,Crystal Palace,0,0.0,2022-10-01,0,,44192,0,0,True
