name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Mario Lemina,MID,Wolves,0,0,4,4.3,2023-03-18,90,Leicester City,1089,1,2,True
Mario Lemina,MID,Wolves,0,0,1,0.9,2023-02-24,90,Fulham,928,1,2,False
Mario Lemina,MID,Wolves,0,0,2,1.3,2023-03-01,90,Liverpool,928,1,2,False
Mario Lemina,MID,Wolves,0,0,3,2.4,2023-01-22,66,Manchester City,107,1,1,False
Mario Lemina,MID,Wolves,0,0,0,0.0,2023-02-18,0,Bournemouth,224,0,0,True
Mario Lemina,MID,Wolves,0,0,0,1.8,2023-03-04,45,Tottenham,691,1,1,True
Mario Lemina,MID,Wolves,0,1,0,1.6,2023-04-08,73,Chelsea,828,1,2,True
Mario Lemina,MID,Wolves,0,1,0,1.4,2023-02-04,82,Liverpool,227,1,3,True
Mario Lemina,MID,Wolves,0,0,1,0.1,2023-02-11,26,Southampton,270,1,-2,False
Mario Lemina,MID,Wolves,0,0,0,0.9,2023-01-14,17,West Ham,0,0,1,True
Mario Lemina,MID,Wolves,0,0,2,1.7,2023-03-12,90,Newcastle United,700,1,2,False
Mario Lemina,MID,Wolves,0,0,1,0.8,2023-04-01,45,Nottingham Forest,835,1,1,False
Mario Lemina,MID,Wolves,0,0,1,3.6,2023-04-22,45,Leeds United,1468,1,4,False
Mario Lemina,MID,Wolves,0,1,0,3.3,2023-04-15,88,Brentford,1081,1,3,True
Mario Lemina,MID,Wolves,0,1,0,2.0,2023-05-06,90,Aston Villa,2155,1,3,True
Mario Lemina,MID,Wolves,0,1,0,0.8,2023-04-25,90,Crystal Palace,1223,1,3,True
Mario Lemina,MID,Wolves,0,0,5,0.0,2023-05-28,90,Arsenal,2376,1,2,False
Mario Lemina,MID,Wolves,0,0,1,2.3,2023-05-13,74,Manchester United,2218,1,2,False
Mario Lemina,MID,Wolves,0,0,6,0.7,2023-04-29,90,Brighton,1405,1,2,False
Mario Lemina,MID,Wolves,0,0,1,0.2,2023-05-20,16,Everton,2393,0,1,True
