name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Neal Maupay,FWD,Everton,0,0.0,2023-03-18,0,Chelsea,66266,0,0,False
Neal Maupay,FWD,Brighton,0,0.0,2022-08-13,0,Newcastle United,72337,0,0,True
Neal Maupay,FWD,Brighton,0,0.0,2022-08-07,0,Manchester United,82551,0,0,False
Neal Maupay,FWD,Brighton,0,0.0,2022-08-21,0,West Ham,57573,0,0,False
Neal Maupay,FWD,Everton,0,0.3,2022-10-19,17,Newcastle United,72915,0,1,False
Neal Maupay,FWD,Everton,0,0.8,2022-10-09,83,Manchester United,78807,0,2,True
Neal Maupay,FWD,Everton,0,0.0,2022-10-15,65,Tottenham,76895,0,1,False
Neal Maupay,FWD,Everton,0,0.1,2022-10-22,12,Crystal Palace,69955,0,1,True
Neal Maupay,FWD,Everton,0,0.0,2022-10-29,4,Fulham,62947,0,1,False
Neal Maupay,FWD,Everton,0,0.0,2022-12-31,20,Manchester City,62702,0,0,False
Neal Maupay,FWD,Everton,0,4.4,2022-11-05,29,Leeds United,61992,0,1,True
Neal Maupay,FWD,Everton,0,2.3,2022-12-26,82,Wolverhampton,67452,1,2,True
Neal Maupay,FWD,Everton,0,4.5,2022-11-12,73,Bournemouth,66178,1,2,False
Neal Maupay,FWD,Everton,0,0.0,2023-01-21,0,West Ham,55103,0,0,False
Neal Maupay,FWD,Everton,0,0.6,2023-04-08,20,Manchester United,59134,0,1,False
Neal Maupay,FWD,Everton,0,4.3,2023-02-18,80,Leicester City,54535,1,2,True
Neal Maupay,FWD,Everton,0,6.0,2023-02-25,75,Aston Villa,141969,1,2,True
Neal Maupay,FWD,Everton,0,6.0,2023-03-01,60,Arsenal,141969,1,2,False
Neal Maupay,FWD,Everton,0,0.0,2023-03-05,1,Nottingham Forest,88657,0,1,False
Neal Maupay,FWD,Everton,0,0.2,2023-01-03,26,Brighton,60439,0,1,True
Neal Maupay,FWD,Everton,0,0.0,2023-02-13,12,Liverpool,52778,0,1,False
Neal Maupay,FWD,Everton,0,1.0,2023-02-04,28,Arsenal,53062,0,0,True
Neal Maupay,FWD,Everton,0,0.0,2023-01-14,0,Southampton,58108,0,0,True
Neal Maupay,FWD,Everton,0,0.1,2023-03-11,4,Brentford,72482,0,1,True
Neal Maupay,FWD,Everton,0,0.0,2023-04-03,0,Tottenham,60603,0,0,True
Neal Maupay,FWD,Everton,0,0.0,2023-04-22,1,Crystal Palace,57579,0,1,False
Neal Maupay,FWD,Everton,3,6.4,2022-09-18,88,West Ham,46881,0,9,True
Neal Maupay,FWD,Everton,0,5.7,2023-04-15,73,Fulham,57783,1,2,True
Neal Maupay,FWD,Everton,0,0.0,2022-08-27,0,Brentford,51137,0,0,False
Neal Maupay,FWD,Everton,0,0.0,2022-08-30,0,Leicester City,50793,0,0,False
Neal Maupay,FWD,Everton,0,10.3,2022-09-03,90,Liverpool,44481,0,2,True
Neal Maupay,FWD,Everton,0,0.0,2023-04-27,17,Newcastle United,55776,0,0,True
Neal Maupay,FWD,Everton,0,0.0,2023-05-08,3,Brighton,53857,0,1,False
Neal Maupay,FWD,Everton,0,7.6,2022-10-01,88,Southampton,67251,0,2,False
Neal Maupay,FWD,Everton,0,0.0,2023-05-28,0,Bournemouth,57977,0,0,True
Neal Maupay,FWD,Everton,0,1.0,2023-05-14,45,Manchester City,53175,0,1,True
Neal Maupay,FWD,Everton,0,0.0,2023-05-01,0,Leeds United,54765,0,0,False
Neal Maupay,FWD,Everton,0,0.6,2023-05-20,8,Wolverhampton,53460,0,1,False
