name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,starts,total_points,was_home
Craig Dawson,DEF,Wolves,0,0,2.2,4,4.5,2023-08-19,70,Brighton,0,24846,1,-1,True
Craig Dawson,DEF,Wolves,0,1,1.2,0,1.8,2023-08-26,90,Everton,0,22101,1,5,False
Craig Dawson,DEF,Wolves,1,1,0.58,0,4.3,2024-02-25,90,Sheffield,0,137948,1,7,True
Craig Dawson,DEF,Wolves,0,0,1.46,1,5.7,2023-08-14,90,Manchester United,0,17576,1,2,False
Craig Dawson,DEF,Wolves,0,0,1.14,3,2.4,2023-12-17,90,West Ham,0,53278,1,1,False
Craig Dawson,DEF,Wolves,0,0,1.06,2,2.5,2023-11-04,90,Sheffield,0,41658,1,0,False
Craig Dawson,DEF,Wolves,1,1,1.3,0,2.7,2023-12-24,69,Chelsea,0,49672,1,7,True
Craig Dawson,DEF,Wolves,0,0,2.17,2,2.4,2023-10-28,90,Newcastle United,0,27429,1,1,True
Craig Dawson,DEF,Wolves,0,0,0.7,1,1.0,2023-11-11,90,Tottenham,0,37145,1,1,True
Craig Dawson,DEF,Wolves,2,1,0.46,0,7.7,2023-12-30,90,Everton,0,44549,1,14,True
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2023-11-27,0,Fulham,0,29352,0,0,False
Craig Dawson,DEF,Wolves,0,0,0.79,1,4.3,2023-12-09,90,Nottingham Forest,0,60172,1,2,True
Craig Dawson,DEF,Wolves,2,1,0.83,0,2.3,2023-12-05,90,Burnley,0,41220,1,8,True
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2023-12-27,0,Brentford,0,46944,0,0,False
Craig Dawson,DEF,Wolves,0,1,1.25,0,2.0,2024-01-22,90,Brighton,0,94011,1,5,False
Craig Dawson,DEF,Wolves,0,0,2.89,2,1.5,2023-12-02,90,Arsenal,0,28965,1,1,False
Craig Dawson,DEF,Wolves,0,0,2.74,4,9.2,2024-02-01,90,Manchester United,0,96522,1,2,True
Craig Dawson,DEF,Wolves,0,0,1.88,2,2.7,2024-02-04,90,Chelsea,0,93174,1,1,False
Craig Dawson,DEF,Wolves,0,0,2.19,3,3.5,2024-03-02,90,Newcastle United,0,119444,1,1,False
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-03-30,0,Aston Villa,0,82094,0,0,False
Craig Dawson,DEF,Wolves,0,0,1.94,2,2.5,2024-02-10,90,Brentford,0,92312,1,1,True
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-03-09,0,Fulham,0,108627,0,0,True
Craig Dawson,DEF,Wolves,0,0,1.71,1,4.8,2024-02-17,90,Tottenham,0,86658,1,2,False
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-04-02,0,Burnley,0,74303,0,0,False
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-04-06,0,West Ham,0,68325,0,0,True
Craig Dawson,DEF,Wolves,0,0,2.13,3,3.6,2023-09-03,90,Crystal Palace,0,22708,1,1,False
Craig Dawson,DEF,Wolves,0,0,2.17,1,2.3,2023-09-23,90,Luton,0,30756,1,2,False
Craig Dawson,DEF,Wolves,0,0,2.55,3,2.7,2023-09-16,90,Liverpool,0,22918,1,1,True
Craig Dawson,DEF,Wolves,0,0,1.65,1,4.0,2023-10-08,90,Aston Villa,0,25679,1,1,True
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-04-13,0,Nottingham Forest,0,67862,0,0,False
Craig Dawson,DEF,Wolves,0,0,0.61,1,11.1,2023-10-21,90,Bournemouth,0,30953,1,2,False
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-05-04,0,Manchester City,0,48345,0,0,False
Craig Dawson,DEF,Wolves,0,0,0.87,1,2.9,2023-09-30,90,Manchester City,0,24533,1,2,True
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-05-19,0,Liverpool,0,41528,0,0,False
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-04-27,0,Luton,0,52307,0,0,True
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-04-20,0,Arsenal,0,60211,0,0,True
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-04-24,0,Bournemouth,0,60211,0,0,True
Craig Dawson,DEF,Wolves,0,0,0.0,0,0.0,2024-05-11,0,Crystal Palace,0,43845,0,0,True
