name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-08-19,0,Tottenham,4858,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-02-24,0,Fulham,10918,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-08-26,0,Nottingham Forest,5588,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-08-14,0,Wolverhampton,4611,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-12-17,8,Liverpool,18369,0,1,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-11-04,0,Fulham,28218,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-12-23,0,West Ham,17135,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-10-29,0,Manchester City,28688,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-11-11,0,Luton,25531,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.1,2023-11-26,6,Everton,23708,0,1,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-12-06,0,Chelsea,21489,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-12-30,0,Nottingham Forest,15893,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-12-09,0,Bournemouth,20004,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-02-01,0,Wolverhampton,13185,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-01-14,0,Tottenham,14620,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-12-02,0,Newcastle United,22397,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-12-26,1,Aston Villa,16708,0,1,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-02-04,0,West Ham,12608,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-03-30,0,Brentford,10294,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-03-03,0,Manchester City,10754,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-02-11,0,Aston Villa,11900,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-03-09,0,Everton,10568,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-02-18,0,Luton,11326,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-04-04,0,Chelsea,10209,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-04-07,0,Liverpool,10119,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-09-03,0,Arsenal,5482,0,0,False
Hannibal Mejbri,MID,Man Utd,0,1,0,4.7,2023-09-23,90,Burnley,10735,1,3,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-04-13,0,Bournemouth,10012,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,1,4.2,2023-09-16,26,Brighton,5639,0,5,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-10-07,0,Brentford,32075,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-05-06,0,Crystal Palace,9791,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-10-21,0,Sheffield,31148,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2023-09-30,0,Crystal Palace,24747,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-05-19,0,Brighton,9658,0,0,False
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-04-27,0,Burnley,9831,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-04-24,0,Sheffield,9911,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-05-12,0,Arsenal,9720,0,0,True
Hannibal Mejbri,MID,Man Utd,0,0,0,0.0,2024-05-15,0,Newcastle United,9720,0,0,True
