name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,starts,total_points,was_home
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2023-08-19,0,Wolverhampton,0,197306,0,0,False
Jan Paul van Hecke,DEF,Brighton,0,0,1.45,1,5.0,2023-08-12,90,Luton,0,81817,1,2,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.28,1,5.6,2024-02-24,90,Everton,0,420406,1,1,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2023-08-26,0,West Ham,0,189032,0,0,True
Jan Paul van Hecke,DEF,Brighton,0,0,2.26,2,3.3,2023-12-17,90,Arsenal,0,208080,1,1,False
Jan Paul van Hecke,DEF,Brighton,0,0,1.36,1,5.2,2023-12-21,90,Crystal Palace,0,209564,1,2,False
Jan Paul van Hecke,DEF,Brighton,0,0,1.32,1,3.6,2023-11-12,90,Sheffield,0,186025,1,2,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2023-10-29,0,Fulham,0,177740,0,0,True
Jan Paul van Hecke,DEF,Brighton,1,0,0.71,1,4.0,2023-11-04,90,Everton,0,174948,1,3,False
Jan Paul van Hecke,DEF,Brighton,2,1,0.68,0,2.7,2024-01-02,90,West Ham,0,210220,1,8,False
Jan Paul van Hecke,DEF,Brighton,0,0,1.33,1,3.1,2023-12-06,90,Brentford,0,198695,1,1,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.94,1,4.5,2023-12-09,90,Burnley,0,210531,1,2,True
Jan Paul van Hecke,DEF,Brighton,0,0,1.69,2,5.1,2023-11-25,90,Nottingham Forest,0,192616,1,1,False
Jan Paul van Hecke,DEF,Brighton,0,0,2.48,2,1.7,2023-12-28,90,Tottenham,0,210106,1,1,True
Jan Paul van Hecke,DEF,Brighton,0,0,1.93,3,3.7,2023-12-03,90,Chelsea,0,193255,1,1,False
Jan Paul van Hecke,DEF,Brighton,0,0,2.89,4,2.6,2024-01-30,90,Luton,0,274444,1,0,False
Jan Paul van Hecke,DEF,Brighton,0,1,1.38,0,7.0,2024-01-22,90,Wolverhampton,0,231451,1,6,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.32,1,2.2,2024-02-03,90,Crystal Palace,0,282697,1,2,True
Jan Paul van Hecke,DEF,Brighton,0,0,1.6,2,3.0,2024-02-10,90,Tottenham,0,303368,1,1,False
Jan Paul van Hecke,DEF,Brighton,0,0,1.24,3,5.8,2024-03-02,90,Fulham,0,406029,1,1,False
Jan Paul van Hecke,DEF,Brighton,0,0,2.79,2,2.6,2024-03-31,90,Liverpool,0,376940,1,0,False
Jan Paul van Hecke,DEF,Brighton,0,1,0.68,0,1.1,2024-03-10,90,Nottingham Forest,0,392223,1,6,True
Jan Paul van Hecke,DEF,Brighton,0,1,0.58,0,8.7,2024-02-18,90,Sheffield,0,346276,1,6,False
Jan Paul van Hecke,DEF,Brighton,0,1,0.5,0,3.0,2024-04-03,90,Brentford,0,389659,1,6,False
Jan Paul van Hecke,DEF,Brighton,0,0,1.3,1,3.0,2023-09-02,90,Newcastle United,0,176023,1,2,True
Jan Paul van Hecke,DEF,Brighton,0,0,3.23,3,3.1,2024-04-06,90,Arsenal,0,400346,1,1,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.96,1,3.2,2023-09-16,90,Manchester United,0,182430,1,1,False
Jan Paul van Hecke,DEF,Brighton,0,0,0.32,0,0.8,2023-10-08,27,Liverpool,0,172701,0,1,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2023-09-24,0,Bournemouth,0,186506,0,0,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2023-10-21,1,Manchester City,0,173070,0,1,False
Jan Paul van Hecke,DEF,Brighton,0,0,1.7,1,1.3,2024-04-13,90,Burnley,0,422110,1,2,False
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2023-09-30,0,Aston Villa,0,179193,0,0,False
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2024-05-05,0,Aston Villa,0,392176,0,0,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2024-05-19,0,Manchester United,0,226512,0,0,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2024-04-28,0,Bournemouth,0,434417,0,0,False
Jan Paul van Hecke,DEF,Brighton,0,0,1.3,4,3.6,2024-04-25,90,Manchester City,0,378730,1,0,True
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2024-05-11,0,Newcastle United,0,254826,0,0,False
Jan Paul van Hecke,DEF,Brighton,0,0,0.0,0,0.0,2024-05-15,0,Chelsea,0,254826,0,0,True
