name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,starts,total_points,was_home
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-08-19,0,Brighton,0,8336,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-02-25,0,Sheffield,0,4252,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-08-26,0,Everton,0,7589,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-08-14,0,Manchester United,0,9603,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-12-17,0,West Ham,0,4794,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-12-24,0,Chelsea,0,4747,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-11-04,0,Sheffield,0,5274,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-10-28,0,Newcastle United,0,5412,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-11-11,0,Tottenham,0,5153,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-12-09,0,Nottingham Forest,0,4878,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-12-05,0,Burnley,0,4936,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-11-27,0,Fulham,0,5036,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-12-02,0,Arsenal,0,4992,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-12-30,0,Everton,0,4646,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-01-22,0,Brighton,0,4487,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-02-01,0,Manchester United,0,4425,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-12-27,0,Brentford,0,4714,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-02-04,0,Chelsea,0,4401,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-03-02,0,Newcastle United,0,4235,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-03-30,0,Aston Villa,0,4180,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-02-10,0,Brentford,0,4352,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-03-09,0,Fulham,0,4209,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-02-17,0,Tottenham,0,4294,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-04-02,0,Burnley,0,4175,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-04-06,0,West Ham,0,4155,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-09-03,0,Crystal Palace,0,6986,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-09-23,0,Luton,0,6274,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-09-16,0,Liverpool,0,6535,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-10-08,0,Aston Villa,0,5713,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-10-21,0,Bournemouth,0,5535,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-04-13,0,Nottingham Forest,0,4142,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-05-04,0,Manchester City,0,4071,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2023-09-30,0,Manchester City,0,5992,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-05-19,0,Liverpool,0,3985,0,0,False
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-04-27,0,Luton,0,4090,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-04-20,0,Arsenal,0,4113,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-04-24,0,Bournemouth,0,4113,0,0,True
Ki-Jana Hoever,DEF,Wolves,0,0,0.0,0,0.0,2024-05-11,0,Crystal Palace,0,4035,0,0,True
