name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Leon Bailey,MID,Aston Villa,0,0,1,6.9,2024-03-17,90,West Ham,986496,1,2,False
Leon Bailey,MID,Aston Villa,3,1,0,9.4,2023-08-20,62,Everton,63516,1,14,True
Leon Bailey,MID,Aston Villa,1,1,0,11.6,2023-12-06,84,Manchester City,104418,1,9,True
Leon Bailey,MID,Aston Villa,0,0,0,0.0,2023-08-27,0,Burnley,203866,0,0,False
Leon Bailey,MID,Aston Villa,0,0,2,0.4,2023-08-12,45,Newcastle United,58138,1,1,False
Leon Bailey,MID,Aston Villa,0,1,0,3.5,2023-12-22,80,Sheffield,336008,1,2,True
Leon Bailey,MID,Aston Villa,0,0,1,4.3,2023-11-05,45,Nottingham Forest,116489,0,1,False
Leon Bailey,MID,Aston Villa,1,0,2,10.0,2023-12-30,90,Burnley,357712,1,8,True
Leon Bailey,MID,Aston Villa,0,0,2,5.5,2023-12-26,76,Manchester United,344731,1,2,False
Leon Bailey,MID,Aston Villa,0,0,0,9.8,2024-01-30,28,Newcastle United,379559,0,4,True
Leon Bailey,MID,Aston Villa,2,0,2,13.3,2024-02-24,90,Nottingham Forest,431830,1,12,True
Leon Bailey,MID,Aston Villa,0,0,1,5.0,2023-10-29,45,Luton,110616,0,4,True
Leon Bailey,MID,Aston Villa,0,0,1,4.8,2023-11-12,28,Fulham,111018,0,4,True
Leon Bailey,MID,Aston Villa,0,0,2,10.4,2024-03-02,78,Luton,511127,1,4,False
Leon Bailey,MID,Aston Villa,0,0,0,3.5,2023-12-17,25,Brentford,246264,0,3,False
Leon Bailey,MID,Aston Villa,1,0,0,9.0,2024-02-03,59,Sheffield,369671,1,7,False
Leon Bailey,MID,Aston Villa,0,1,0,3.9,2024-01-14,63,Everton,424133,1,3,False
Leon Bailey,MID,Aston Villa,0,0,2,7.5,2023-12-03,73,Bournemouth,101274,1,7,False
Leon Bailey,MID,Aston Villa,0,0,0,3.7,2023-11-26,45,Tottenham,104029,0,1,False
Leon Bailey,MID,Aston Villa,0,0,0,3.4,2023-12-09,45,Arsenal,157788,1,4,True
Leon Bailey,MID,Aston Villa,0,1,0,4.8,2024-03-30,90,Wolverhampton,535451,1,3,True
Leon Bailey,MID,Aston Villa,0,0,1,5.5,2024-02-11,72,Manchester United,369157,1,5,True
Leon Bailey,MID,Aston Villa,0,0,1,2.7,2024-02-17,80,Fulham,361225,1,2,False
Leon Bailey,MID,Aston Villa,0,0,2,2.0,2024-03-10,68,Tottenham,522735,1,2,True
Leon Bailey,MID,Aston Villa,0,0,1,1.7,2024-04-03,27,Manchester City,469446,0,1,False
Leon Bailey,MID,Aston Villa,0,0,3,4.6,2024-04-06,90,Brentford,424406,1,5,True
Leon Bailey,MID,Aston Villa,0,0,0,5.3,2024-04-14,29,Arsenal,389143,0,6,False
Leon Bailey,MID,Aston Villa,0,0,1,1.2,2024-05-05,90,Brighton,379939,1,2,False
Leon Bailey,MID,Aston Villa,0,0,1,1.9,2024-04-27,74,Chelsea,385777,1,1,True
Leon Bailey,MID,Aston Villa,3,0,1,17.0,2024-04-21,86,Bournemouth,374851,1,13,True
Leon Bailey,MID,Aston Villa,0,0,2,2.2,2023-09-03,46,Liverpool,171491,0,1,False
Leon Bailey,MID,Aston Villa,0,0,0,1.7,2023-09-24,15,Chelsea,161390,0,1,False
Leon Bailey,MID,Aston Villa,0,0,3,7.6,2024-05-13,90,Liverpool,337764,1,2,True
Leon Bailey,MID,Aston Villa,0,0,0,0.0,2024-05-19,0,Crystal Palace,343364,0,0,False
Leon Bailey,MID,Aston Villa,0,0,0,7.0,2023-09-16,33,Crystal Palace,160917,0,5,True
Leon Bailey,MID,Aston Villa,0,0,0,2.1,2023-10-08,8,Wolverhampton,105014,0,1,False
Leon Bailey,MID,Aston Villa,0,0,0,0.0,2023-09-30,0,Brighton,125276,0,0,True
Leon Bailey,MID,Aston Villa,0,0,0,5.9,2023-10-22,14,West Ham,102237,0,6,True
