name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,starts,total_points,was_home
Malo Gusto,DEF,Chelsea,0,0,0.9,2,3.2,2023-08-20,82,West Ham,0,182743,1,1,False
Malo Gusto,DEF,Chelsea,2,1,0.43,0,6.7,2023-08-25,90,Luton,0,376775,1,14,True
Malo Gusto,DEF,Chelsea,0,0,0.04,0,0.5,2023-08-13,14,Liverpool,0,98136,0,1,True
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.4,2023-12-16,1,Sheffield,0,436623,0,1,True
Malo Gusto,DEF,Chelsea,0,0,0.72,0,0.0,2023-11-06,13,Tottenham,0,762412,0,0,False
Malo Gusto,DEF,Chelsea,0,0,0.98,1,4.5,2023-12-24,79,Wolverhampton,0,443203,1,1,False
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2023-10-28,0,Brentford,0,820214,0,0,True
Malo Gusto,DEF,Chelsea,0,0,0.13,1,1.0,2023-11-12,26,Manchester City,0,711470,0,1,True
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2023-11-25,0,Newcastle United,0,644804,0,0,False
Malo Gusto,DEF,Chelsea,0,0,2.53,2,2.2,2023-12-30,90,Luton,0,681345,1,0,False
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2023-12-10,0,Everton,0,465336,0,0,False
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2023-12-06,0,Manchester United,0,511263,0,0,False
Malo Gusto,DEF,Chelsea,3,0,1.08,1,7.0,2023-12-27,90,Crystal Palace,0,493861,1,8,True
Malo Gusto,DEF,Chelsea,0,0,1.08,2,4.1,2024-01-31,45,Liverpool,0,759866,0,0,False
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2023-12-03,0,Brighton,0,576880,0,0,True
Malo Gusto,DEF,Chelsea,0,1,0.73,0,6.0,2024-01-13,90,Fulham,0,795149,1,5,True
Malo Gusto,DEF,Chelsea,0,0,0.93,3,2.5,2024-02-04,80,Wolverhampton,0,752194,1,0,True
Malo Gusto,DEF,Chelsea,1,0,1.83,2,8.1,2024-03-02,90,Brentford,0,703767,1,5,False
Malo Gusto,DEF,Chelsea,0,0,1.23,2,13.0,2024-03-30,86,Burnley,0,1128724,1,1,True
Malo Gusto,DEF,Chelsea,1,0,0.47,1,8.7,2024-02-12,83,Crystal Palace,0,725222,1,6,False
Malo Gusto,DEF,Chelsea,0,0,0.8,2,3.5,2024-03-11,90,Newcastle United,0,738444,1,1,True
Malo Gusto,DEF,Chelsea,0,0,2.91,1,7.6,2024-02-17,90,Manchester City,0,690403,1,2,False
Malo Gusto,DEF,Chelsea,0,0,1.57,3,6.5,2024-04-04,74,Manchester United,0,1100886,1,0,True
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2024-04-07,0,Sheffield,0,1146064,0,0,False
Malo Gusto,DEF,Chelsea,0,0,0.64,1,2.9,2023-09-02,76,Nottingham Forest,0,1148260,1,2,True
Malo Gusto,DEF,Chelsea,0,0,1.9,1,2.4,2023-09-24,57,Aston Villa,0,1572476,1,-2,True
Malo Gusto,DEF,Chelsea,0,1,1.19,0,2.3,2023-09-17,90,Bournemouth,0,1318280,1,6,False
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2023-10-07,0,Burnley,0,789310,0,0,False
Malo Gusto,DEF,Chelsea,0,1,1.38,0,2.7,2024-04-15,87,Everton,0,1176516,1,6,True
Malo Gusto,DEF,Chelsea,0,0,1.06,2,1.4,2023-10-21,90,Arsenal,0,796671,1,1,True
Malo Gusto,DEF,Chelsea,0,0,0.06,0,0.9,2024-05-05,7,West Ham,0,858860,0,1,True
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2023-10-02,0,Fulham,0,1002613,0,0,False
Malo Gusto,DEF,Chelsea,0,0,0.68,0,2.6,2024-05-19,26,Bournemouth,0,906288,0,0,True
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2024-04-27,0,Aston Villa,0,1006176,0,0,False
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2024-05-02,0,Tottenham,0,1006176,0,0,True
Malo Gusto,DEF,Chelsea,0,0,0.0,0,0.0,2024-04-23,0,Arsenal,0,1077641,0,0,False
Malo Gusto,DEF,Chelsea,0,0,0.19,1,2.6,2024-05-11,32,Nottingham Forest,0,825904,0,1,False
Malo Gusto,DEF,Chelsea,3,1,0.66,0,7.1,2024-05-15,68,Brighton,0,825904,1,12,False
