name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,starts,total_points,was_home
Scott Carson,GK,Man City,0,0,0.0,0,2023-08-19,0,Newcastle United,0,0,0,7086,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-02-24,0,Bournemouth,0,0,0,8082,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-08-11,0,Burnley,0,0,0,6253,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-08-27,0,Sheffield,0,0,0,6960,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-12-16,0,Crystal Palace,0,0,0,8858,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2023-10-29,0,Manchester United,0,0,0,9251,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-11-04,0,Bournemouth,0,0,0,9241,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2023-12-10,0,Luton,0,0,0,8910,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-12-06,0,Aston Villa,0,0,0,9027,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-11-12,0,Chelsea,0,0,0,9165,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-12-03,0,Tottenham,0,0,0,9126,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2023-11-25,0,Liverpool,0,0,0,9299,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2023-12-30,0,Sheffield,0,0,0,8654,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2023-12-27,0,Everton,0,0,0,8748,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2024-01-31,0,Burnley,0,0,0,7903,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-01-13,0,Newcastle United,0,0,0,8121,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2024-02-05,0,Brentford,0,0,0,7853,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2024-03-03,0,Manchester United,0,0,0,8258,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-02-10,0,Everton,0,0,0,7911,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-03-31,0,Arsenal,0,0,0,8705,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-03-10,0,Liverpool,0,0,0,8258,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2024-02-17,0,Chelsea,0,0,0,7957,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-02-20,0,Brentford,0,0,0,7957,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-04-03,0,Aston Villa,0,0,0,8879,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-04-06,0,Crystal Palace,0,0,0,9013,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-09-02,0,Fulham,0,0,0,6847,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2023-09-23,0,Nottingham Forest,0,0,0,7475,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2023-10-08,0,Arsenal,0,0,0,9174,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-09-16,0,West Ham,0,0,0,6817,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2023-10-21,0,Brighton,0,0,0,9098,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-04-13,0,Luton,0,0,0,9365,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-05-04,0,Wolverhampton,0,0,0,9629,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2023-09-30,0,Wolverhampton,0,0,0,8320,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2024-05-19,0,West Ham,0,0,0,9288,0,0,True
Scott Carson,GK,Man City,0,0,0.0,0,2024-04-28,0,Nottingham Forest,0,0,0,9769,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2024-04-25,0,Brighton,0,0,0,10887,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2024-05-11,0,Fulham,0,0,0,9155,0,0,False
Scott Carson,GK,Man City,0,0,0.0,0,2024-05-14,0,Tottenham,0,0,0,9155,0,0,False
