name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Tomáš Souček,MID,West Ham,0,0,1,3.1,2024-03-17,90,Aston Villa,117176,1,2,True
Tomáš Souček,MID,West Ham,0,0,1,6.1,2023-08-20,90,Chelsea,131348,1,2,True
Tomáš Souček,MID,West Ham,0,0,2,3.8,2024-02-26,90,Brentford,119187,1,2,True
Tomáš Souček,MID,West Ham,2,0,1,6.0,2023-08-12,90,Bournemouth,89660,1,7,False
Tomáš Souček,MID,West Ham,0,0,0,0.8,2023-08-26,38,Brighton,124573,1,1,False
Tomáš Souček,MID,West Ham,0,1,0,1.9,2023-12-17,90,Wolverhampton,187766,1,3,True
Tomáš Souček,MID,West Ham,0,1,0,1.4,2023-12-23,90,Manchester United,170163,1,3,True
Tomáš Souček,MID,West Ham,0,0,3,0.8,2023-11-04,90,Brentford,139000,1,1,False
Tomáš Souček,MID,West Ham,0,0,0,0.5,2023-10-29,17,Everton,136367,0,1,True
Tomáš Souček,MID,West Ham,0,0,5,0.5,2023-12-10,90,Fulham,200768,1,2,False
Tomáš Souček,MID,West Ham,0,0,2,11.5,2023-11-12,90,Nottingham Forest,126454,1,7,True
Tomáš Souček,MID,West Ham,0,0,1,1.4,2023-12-07,90,Tottenham,206787,1,2,False
Tomáš Souček,MID,West Ham,1,0,1,10.7,2023-11-25,90,Burnley,148543,1,8,False
Tomáš Souček,MID,West Ham,0,0,1,1.2,2023-12-03,90,Crystal Palace,193302,1,2,True
Tomáš Souček,MID,West Ham,0,1,0,1.1,2024-01-02,90,Brighton,162340,1,3,True
Tomáš Souček,MID,West Ham,0,0,1,2.0,2024-02-01,90,Bournemouth,155389,1,2,True
Tomáš Souček,MID,West Ham,1,1,0,9.2,2023-12-28,90,Arsenal,163086,1,9,False
Tomáš Souček,MID,West Ham,0,0,2,4.6,2024-01-21,90,Sheffield,164018,1,2,False
Tomáš Souček,MID,West Ham,0,0,2,1.2,2024-02-04,71,Manchester United,146870,1,1,False
Tomáš Souček,MID,West Ham,1,0,1,8.6,2024-03-02,90,Everton,115915,1,7,False
Tomáš Souček,MID,West Ham,0,0,6,1.1,2024-02-11,90,Arsenal,133844,1,2,True
Tomáš Souček,MID,West Ham,0,0,4,5.9,2024-03-30,90,Newcastle United,115412,1,1,False
Tomáš Souček,MID,West Ham,0,0,2,3.6,2024-03-10,90,Burnley,118858,1,1,True
Tomáš Souček,MID,West Ham,0,0,1,1.4,2024-02-17,7,Nottingham Forest,123152,0,1,False
Tomáš Souček,MID,West Ham,0,0,1,3.7,2024-04-02,90,Tottenham,110992,1,2,True
Tomáš Souček,MID,West Ham,0,0,1,1.8,2024-04-06,45,Wolverhampton,105724,1,1,False
Tomáš Souček,MID,West Ham,0,0,0,0.0,2023-09-01,0,Luton,88827,0,0,False
Tomáš Souček,MID,West Ham,0,0,2,6.7,2023-09-24,73,Liverpool,65865,1,2,False
Tomáš Souček,MID,West Ham,0,0,3,3.8,2023-09-16,86,Manchester City,69029,1,1,True
Tomáš Souček,MID,West Ham,1,0,2,7.0,2023-10-08,75,Newcastle United,76392,1,8,True
Tomáš Souček,MID,West Ham,0,0,2,0.6,2023-10-22,66,Aston Villa,119608,1,2,False
Tomáš Souček,MID,West Ham,0,0,1,1.6,2024-04-14,21,Fulham,102770,0,1,True
Tomáš Souček,MID,West Ham,0,0,5,3.4,2024-05-05,90,Chelsea,91287,1,2,False
Tomáš Souček,MID,West Ham,0,1,0,10.3,2023-09-30,90,Sheffield,64237,1,8,True
Tomáš Souček,MID,West Ham,0,0,3,1.3,2024-05-19,90,Manchester City,88721,1,2,False
Tomáš Souček,MID,West Ham,0,0,2,5.9,2024-04-27,73,Liverpool,93334,1,2,True
Tomáš Souček,MID,West Ham,0,0,4,4.1,2024-04-21,45,Crystal Palace,96767,1,3,False
Tomáš Souček,MID,West Ham,3,0,1,11.7,2024-05-11,90,Luton,88533,1,10,True
