name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-08-24,0,Southampton,3613,0,0,False
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-08-17,14,Bournemouth,5769,1,1,True
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-10-06,0,Chelsea,1753,0,0,False
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-08-31,0,Wolverhampton,2693,0,0,True
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-09-22,0,Brighton,2060,0,0,False
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-09-28,0,Fulham,1886,0,0,True
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-09-14,0,Liverpool,2261,0,0,False
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-11-02,0,West Ham,1609,0,0,True
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-11-10,0,Newcastle United,1581,0,0,True
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-10-21,0,Crystal Palace,1677,0,0,True
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0,0,0,0.0,2024-10-25,0,Leicester City,1644,0,0,False
