name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Enzo Fernández,MID,Chelsea,0,0,2,4.6,2024-08-18,90,Manchester City,118384,1,2,True
Enzo Fernández,MID,Chelsea,0,0,2,5.0,2024-08-25,90,Wolverhampton,164902,1,2,False
Enzo Fernández,MID,Chelsea,0,0,2,2.7,2024-09-28,78,Brighton,150826,1,1,True
Enzo Fernández,MID,Chelsea,0,0,0,0.0,2024-09-14,0,Bournemouth,168846,0,0,False
Enzo Fernández,MID,Chelsea,0,0,1,4.5,2024-09-01,90,Crystal Palace,169252,1,2,True
Enzo Fernández,MID,Chelsea,0,0,0,1.9,2024-10-20,37,Liverpool,137920,0,1,False
Enzo Fernández,MID,Chelsea,0,0,0,1.7,2024-10-27,18,Newcastle United,133310,0,1,True
Enzo Fernández,MID,Chelsea,0,0,0,0.3,2024-11-03,19,Manchester United,126360,0,1,False
Enzo Fernández,MID,Chelsea,0,0,1,6.2,2024-10-06,80,Nottingham Forest,144520,1,2,True
Enzo Fernández,MID,Chelsea,0,1,0,3.7,2024-09-21,83,West Ham,156615,1,3,False
Enzo Fernández,MID,Chelsea,0,0,0,5.3,2024-11-10,22,Arsenal,121291,0,4,True
Enzo Fernández,MID,Chelsea,2,0,1,15.3,2024-11-23,90,Leicester City,122521,1,12,False
