name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Evan Ferguson,FWD,Brighton,0,0.0,2024-09-14,5,Ipswich Town,17654,0,1,True
Evan Ferguson,FWD,Brighton,0,0.0,2024-08-17,0,Everton,9342,0,0,False
Evan Ferguson,FWD,Brighton,0,0.0,2024-08-24,0,Manchester United,10259,0,0,True
Evan Ferguson,FWD,Brighton,0,0.0,2024-10-06,0,Tottenham,32140,0,0,True
Evan Ferguson,FWD,Brighton,0,0.0,2024-11-02,2,Liverpool,37644,0,1,False
Evan Ferguson,FWD,Brighton,0,0.5,2024-09-22,8,Nottingham Forest,23668,0,1,True
Evan Ferguson,FWD,Brighton,0,0.9,2024-10-19,59,Newcastle United,33294,1,1,False
Evan Ferguson,FWD,Brighton,0,0.1,2024-09-28,9,Chelsea,27725,0,1,False
Evan Ferguson,FWD,Brighton,0,0.0,2024-11-09,0,Manchester City,35884,0,0,True
Evan Ferguson,FWD,Brighton,2,5.0,2024-10-26,17,Wolverhampton,37103,0,7,True
Evan Ferguson,FWD,Brighton,0,0.0,2024-08-31,0,Arsenal,11380,0,0,False
