name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Kai Havertz,FWD,Arsenal,0,2.0,2024-08-24,90,Aston Villa,1638743,1,2,False
Kai Havertz,FWD,Arsenal,0,4.7,2024-10-27,90,Liverpool,1768961,1,2,True
Kai Havertz,FWD,Arsenal,2,13.5,2024-10-05,90,Southampton,2162410,1,8,True
Kai Havertz,FWD,Arsenal,3,12.5,2024-08-17,90,Wolverhampton,1087445,1,12,True
Kai Havertz,FWD,Arsenal,0,6.1,2024-09-15,90,Tottenham,1804099,1,2,False
Kai Havertz,FWD,Arsenal,0,14.4,2024-09-28,90,Leicester City,1961057,1,6,True
Kai Havertz,FWD,Arsenal,0,1.7,2024-10-19,90,Bournemouth,1980343,1,2,False
Kai Havertz,FWD,Arsenal,0,2.1,2024-11-02,90,Newcastle United,1625586,1,1,False
Kai Havertz,FWD,Arsenal,0,3.2,2024-09-22,90,Manchester City,1733362,1,2,False
Kai Havertz,FWD,Arsenal,2,10.2,2024-08-31,90,Brighton,1755160,1,8,True
Kai Havertz,FWD,Arsenal,0,2.7,2024-11-10,90,Chelsea,1257354,1,1,False
Kai Havertz,FWD,Arsenal,0,0.0,2024-11-23,0,Nottingham Forest,1208258,0,0,True
