name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Leon Chiwome,FWD,Wolves,0,0.0,2024-08-17,0,Arsenal,9106,0,0,False
Leon Chiwome,FWD,Wolves,0,0.0,2024-08-25,0,Chelsea,8078,0,0,True
Leon Chiwome,FWD,Wolves,0,0.0,2024-09-28,0,Liverpool,165946,0,0,True
Leon Chiwome,FWD,Wolves,0,0.0,2024-10-05,0,Brentford,246422,0,0,False
Leon Chiwome,FWD,Wolves,0,0.0,2024-09-15,0,Newcastle United,89974,0,0,True
Leon Chiwome,FWD,Wolves,0,0.0,2024-10-20,0,Manchester City,273458,0,0,True
Leon Chiwome,FWD,Wolves,0,0.0,2024-08-31,0,Nottingham Forest,9685,0,0,False
Leon Chiwome,FWD,Wolves,0,0.0,2024-10-26,0,Brighton,284243,0,0,False
Leon Chiwome,FWD,Wolves,0,0.0,2024-11-02,0,Crystal Palace,289021,0,0,True
Leon Chiwome,FWD,Wolves,0,0.0,2024-09-21,0,Aston Villa,124808,0,0,False
Leon Chiwome,FWD,Wolves,0,0.0,2024-11-09,0,Southampton,280799,0,0,True
Leon Chiwome,FWD,Wolves,0,0.0,2024-11-23,0,Fulham,276476,0,0,False
