name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,selected,starts,total_points,was_home
Mark Flekken,GK,Brentford,0,0,2.65,2,2024-08-25,90,Liverpool,0,0,6,1017809,1,3,False
Mark Flekken,GK,Brentford,0,0,1.17,1,2024-08-18,90,Crystal Palace,0,0,6,1005914,1,4,True
Mark Flekken,GK,Brentford,0,0,3.52,3,2024-09-21,90,Tottenham,0,0,6,1115324,1,3,False
Mark Flekken,GK,Brentford,0,0,2.17,2,2024-09-14,90,Manchester City,0,0,5,1123243,1,2,False
Mark Flekken,GK,Brentford,0,0,1.37,2,2024-11-04,90,Fulham,0,0,10,1314298,1,4,False
Mark Flekken,GK,Brentford,0,0,1.05,3,2024-10-05,90,Wolverhampton,0,0,3,1299059,1,2,True
Mark Flekken,GK,Brentford,0,0,1.57,1,2024-08-31,90,Southampton,0,0,5,1111222,1,3,True
Mark Flekken,GK,Brentford,0,0,0.99,1,2024-09-28,90,West Ham,0,0,2,1247322,1,2,True
Mark Flekken,GK,Brentford,0,0,2.61,2,2024-11-09,90,Bournemouth,0,0,1,1336155,1,1,True
Mark Flekken,GK,Brentford,0,0,1.33,2,2024-10-19,90,Manchester United,0,0,9,1275900,1,4,False
Mark Flekken,GK,Brentford,0,0,1.3,3,2024-10-26,90,Ipswich Town,0,0,2,1356008,1,1,True
