name,position,team,bonus,clean_sheets,expected_goals_conceded,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,selected,starts,total_points,was_home
Santiago Bueno,DEF,Wolves,0,0,0.0,0,0.0,2024-08-25,0,Chelsea,0,8254,0,0,True
Santiago Bueno,DEF,Wolves,0,0,0.0,0,0.0,2024-08-17,0,Arsenal,0,7482,0,0,False
Santiago Bueno,DEF,Wolves,0,0,0.0,0,0.0,2024-10-05,0,Brentford,0,7551,0,0,False
Santiago Bueno,DEF,Wolves,0,0,0.0,0,0.0,2024-08-31,0,Nottingham Forest,0,8143,0,0,False
Santiago Bueno,DEF,Wolves,0,0,1.15,2,0.0,2024-09-21,8,Aston Villa,0,8152,0,0,False
Santiago Bueno,DEF,Wolves,0,0,0.0,0,0.0,2024-09-15,0,Newcastle United,0,8101,0,0,True
Santiago Bueno,DEF,Wolves,0,0,2.39,2,1.7,2024-09-28,76,Liverpool,0,8014,1,1,True
Santiago Bueno,DEF,Wolves,0,0,2.51,2,2.0,2024-11-02,90,Crystal Palace,0,7722,1,1,True
Santiago Bueno,DEF,Wolves,0,1,0.66,0,1.3,2024-11-09,90,Southampton,0,8006,1,6,True
Santiago Bueno,DEF,Wolves,0,0,1.62,2,2.4,2024-10-20,90,Manchester City,0,7442,1,1,True
Santiago Bueno,DEF,Wolves,0,0,1.31,2,4.7,2024-10-26,90,Brighton,0,7531,1,1,False
