name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Haydon Roberts,Brighton,Watford,,True,0,,,,,0,,,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,Brighton,True,Everton,,
Haydon Roberts,Brighton,Everton,2021-08-28,True,0,0.0,0.02,0.0,0.16,0,1.0,4.0,0.0,0,0,0,4927,0.0,0.01,0.0,0,0.0,Brighton,False,Brentford,,
Haydon Roberts,Brighton,Brentford,,False,0,,,,,0,,,0.0,0,0,0,13209,0.0,0.01,0.0,0,0.0,Brighton,True,Leeds United,,
Haydon Roberts,Brighton,Leeds United,,True,0,,,,,0,,,0.0,0,0,0,14875,0.0,0.0,0.0,0,0.0,Brighton,False,Crystal Palace,,
Haydon Roberts,Brighton,Crystal Palace,,False,0,,,,,0,,,0.0,0,0,0,15953,0.0,0.0,0.0,0,0.0,Brighton,True,Arsenal,,
Haydon Roberts,Brighton,Arsenal,,True,0,,,,,0,,,0.0,0,0,0,16028,0.0,0.0,0.0,0,0.0,Brighton,False,Norwich,,
Haydon Roberts,Brighton,Norwich,2021-10-16,False,0,0.0,0.0,0.0,0.06,0,0.0,1.0,0.0,0,0,0,16253,0.0,0.0,0.0,0,0.0,Brighton,True,Manchester City,,
Haydon Roberts,Brighton,Manchester City,,True,0,,,,,0,,,0.0,0,0,0,16366,0.0,0.0,0.0,0,0.0,Brighton,False,Liverpool,,
Haydon Roberts,Brighton,Liverpool,2021-10-30,False,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,17532,0.0,0.0,0.0,0,0.0,Brighton,True,Newcastle United,,
Haydon Roberts,Brighton,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0,16722,0.0,0.0,0.0,0,0.0,Brighton,False,Aston Villa,,
Haydon Roberts,Brighton,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0,16735,0.0,0.0,0.0,0,0.0,Brighton,True,Leicester City,,
Haydon Roberts,Brighton,Leicester City,2021-11-27,True,0,0.0,0.0,1.0,1.4,0,0.0,4.0,0.0,0,0,0,16294,0.0,0.2,0.0,0,0.0,Brighton,False,West Ham,,
Haydon Roberts,Brighton,West Ham,2021-12-01,False,0,0.0,0.0,2.0,0.41,0,0.0,3.0,0.0,0,0,0,16215,0.0,0.6,0.0,0,0.0,Brighton,False,Southampton,,
Haydon Roberts,Brighton,Southampton,2021-12-04,False,0,0.0,0.0,0.0,0.01,0,0.0,1.0,0.0,0,0,0,16296,0.0,0.6,0.0,0,0.0,Brighton,True,Wolverhampton,,
Haydon Roberts,Brighton,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0,16175,0.0,0.6,0.0,0,0.0,Brighton,True,Brentford,,
Haydon Roberts,Brighton,Brentford,,True,0,,,,,0,,,0.0,0,0,0,16110,0.0,0.6,0.0,0,0.0,Brighton,False,Chelsea,,
Haydon Roberts,Brighton,Chelsea,,False,0,,,,,0,,,0.0,0,0,0,16000,0.0,0.4,0.0,0,0.0,Brighton,False,Everton,,
Haydon Roberts,Brighton,Everton,,False,0,,,,,0,,,0.0,0,0,0,15983,0.0,0.0,0.0,0,0.0,Brighton,True,Crystal Palace,,
Haydon Roberts,Brighton,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0,16034,0.0,0.0,0.0,0,0.0,Brighton,True,Chelsea,,
