name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
John Stones,Man City,Tottenham,,False,0,,,,,0,,,0.0,0,0,0,7.19,0.0,0.0,0.0,0.0,0.0,Man City,True,Norwich,,
John Stones,Man City,Norwich,,True,0,,,,,0,,,0.0,0,0,0,7.16,0.0,0.0,0.0,0.0,0.0,Man City,True,Arsenal,,
John Stones,Man City,Arsenal,,True,0,,,,,0,,,0.0,0,0,0,5.22,0.0,0.0,0.0,0.0,0.0,Man City,False,Leeds United,,
John Stones,Man City,Leeds United,,False,0,,,,,0,,,0.0,0,0,0,3.99,0.0,0.0,0.0,0.0,0.0,Man City,True,Southampton,,
John Stones,Man City,Southampton,,True,0,,,,,0,,,0.0,0,0,0,3.24,0.0,0.0,0.0,0.0,0.0,Man City,False,Chelsea,,
John Stones,Man City,Chelsea,,False,0,,,,,0,,,0.0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,Man City,False,Liverpool,,
John Stones,Man City,Liverpool,,False,0,,,,,0,,,0.0,0,0,0,2.45,0.0,0.0,0.0,0.0,6.0,Man City,True,Burnley,,
John Stones,Man City,Burnley,2021-10-16,True,90,0.0,0.0,0.0,0.0,6,0.0,0.0,0.7,0,1,0,2.41,1.2,0.0,11.25,1.0,0.0,Man City,False,Brighton,,
John Stones,Man City,Brighton,,False,0,,,,,0,,,0.0,0,0,0,2.44,1.2,0.0,10.0,1.0,1.0,Man City,True,Crystal Palace,,
John Stones,Man City,Crystal Palace,2021-10-30,True,31,0.0,0.0,0.0,0.0,1,0.0,0.0,0.9,0,0,1,2.36,1.4,0.0,12.1,0.5,6.0,Man City,False,Manchester United,,
John Stones,Man City,Manchester United,2021-11-06,False,90,0.0,0.12,0.0,0.0,6,1.0,0.0,1.5,0,1,0,2.36,2.6,0.02,19.18,0.67,6.0,Man City,True,Everton,,
John Stones,Man City,Everton,2021-11-21,True,90,0.0,0.0,0.0,0.0,6,0.0,0.0,2.6,0,1,0,2.39,3.8,0.02,25.08,0.75,0.0,Man City,True,West Ham,,
John Stones,Man City,West Ham,,True,0,,,,,0,,,0.0,0,0,0,2.42,2.6,0.02,23.15,0.75,0.0,Man City,False,Aston Villa,,
John Stones,Man City,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0,2.42,2.6,0.02,21.5,0.75,0.0,Man City,False,Watford,,
John Stones,Man City,Watford,,False,0,,,,,0,,,0.0,0,0,0,2.33,2.4,0.02,20.07,0.75,0.0,Man City,True,Wolverhampton,,
