name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Andi Zeqiri,Brighton,Burnley,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,Brighton,True,Watford,,
Andi Zeqiri,Brighton,Watford,,True,0,,,,,0,,,0.0,0,47702,0.0,0.0,0.0,0.0,Brighton,True,Everton,,
Andi Zeqiri,Brighton,Everton,,True,0,,,,,0,,,0.0,0,75452,0.0,0.0,0.0,0.0,Brighton,False,Brentford,,
Andi Zeqiri,Brighton,Brentford,2021-09-11,False,0,0.0,0.07,0.0,0.0,0,2.0,0.0,0.0,0,53564,0.0,0.02,0.0,0.0,Brighton,True,Leeds United,,
Andi Zeqiri,Brighton,Leeds United,,True,0,,,,,0,,,0.0,0,45327,0.0,0.01,0.0,0.0,Brighton,False,Crystal Palace,,
Andi Zeqiri,Brighton,Crystal Palace,,False,0,,,,,0,,,0.0,0,40158,0.0,0.01,0.0,0.0,Brighton,True,Arsenal,,
Andi Zeqiri,Brighton,Arsenal,,True,0,,,,,0,,,0.0,0,36314,0.0,0.01,0.0,0.0,Brighton,False,Norwich,,
Andi Zeqiri,Brighton,Norwich,,False,0,,,,,0,,,0.0,0,33810,0.0,0.01,0.0,0.0,Brighton,True,Manchester City,,
Andi Zeqiri,Brighton,Manchester City,,True,0,,,,,0,,,0.0,0,32418,0.0,0.0,0.0,0.0,Brighton,False,Liverpool,,
Andi Zeqiri,Brighton,Liverpool,,False,0,,,,,0,,,0.0,0,30540,0.0,0.0,0.0,0.0,Brighton,True,Newcastle United,,
Andi Zeqiri,Brighton,Newcastle United,,True,0,,,,,0,,,0.0,0,29677,0.0,0.0,0.0,0.0,Brighton,False,Aston Villa,,
Andi Zeqiri,Brighton,Aston Villa,,False,0,,,,,0,,,0.0,0,28860,0.0,0.0,0.0,0.0,Brighton,True,Leicester City,,
Andi Zeqiri,Brighton,Leicester City,,True,0,,,,,0,,,0.0,0,28148,0.0,0.0,0.0,0.0,Brighton,False,West Ham,,
Andi Zeqiri,Brighton,West Ham,,False,0,,,,,0,,,0.0,0,27773,0.0,0.0,0.0,0.0,Brighton,False,Southampton,,
