name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Christian Benteke,Crystal Palace,Chelsea,2021-08-14,False,33,0.0,0.04,0.0,0.0,1,1.0,0.0,0.1,0,1.0,0.04,33.0,1.0,Crystal Palace,True,Brentford,,
Christian Benteke,Crystal Palace,Brentford,2021-08-21,True,90,0.0,0.11,0.0,0.05,1,1.0,1.0,2.8,0,1.0,0.07,61.5,5.0,Crystal Palace,False,West Ham,,
Christian Benteke,Crystal Palace,West Ham,2021-08-28,False,90,0.0,0.04,1.0,0.58,5,2.0,2.0,7.6,0,2.33,0.4,71.0,2.0,Crystal Palace,True,Tottenham,,
Christian Benteke,Crystal Palace,Tottenham,2021-09-11,True,83,0.0,0.05,0.0,0.13,2,1.0,1.0,2.2,0,2.25,0.31,74.0,2.0,Crystal Palace,False,Liverpool,,
Christian Benteke,Crystal Palace,Liverpool,2021-09-18,False,64,0.0,0.17,0.0,0.02,2,3.0,1.0,4.8,0,2.2,0.28,72.0,1.0,Crystal Palace,True,Brighton,,
Christian Benteke,Crystal Palace,Brighton,2021-09-27,True,18,0.0,0.0,0.0,0.4,1,0.0,1.0,1.7,0,2.2,0.27,63.0,1.0,Crystal Palace,True,Leeds United,,
Christian Benteke,Crystal Palace,Leeds United,2021-10-03,True,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,2.2,0.25,54.71,9.0,Crystal Palace,False,Arsenal,,
Christian Benteke,Crystal Palace,Arsenal,2021-10-18,False,90,1.0,0.12,0.0,0.0,9,2.0,0.0,7.3,3,3.0,0.07,59.12,5.0,Crystal Palace,True,Newcastle United,,
Christian Benteke,Crystal Palace,Newcastle United,2021-10-23,True,90,1.0,1.95,0.0,0.17,5,6.0,3.0,16.2,0,3.6,0.45,62.56,1.0,Crystal Palace,False,Manchester City,,
Christian Benteke,Crystal Palace,Manchester City,2021-10-30,False,25,0.0,0.04,0.0,0.0,1,1.0,0.0,1.0,0,3.4,0.42,58.8,2.0,Crystal Palace,True,Wolverhampton,,
Christian Benteke,Crystal Palace,Wolverhampton,2021-11-06,True,88,0.0,0.15,0.0,0.0,2,3.0,0.0,6.2,0,3.6,0.45,61.45,12.0,Crystal Palace,False,Burnley,,
Christian Benteke,Crystal Palace,Burnley,2021-11-20,False,90,2.0,0.93,0.0,0.22,12,5.0,2.0,15.9,3,5.8,0.64,63.83,2.0,Crystal Palace,True,Aston Villa,,
Christian Benteke,Crystal Palace,Aston Villa,2021-11-27,True,90,0.0,0.22,0.0,0.05,2,3.0,1.0,5.3,0,4.4,0.66,65.85,1.0,Crystal Palace,False,Leicester City,,
Christian Benteke,Crystal Palace,Leicester City,2021-11-30,False,22,0.0,0.32,0.0,0.0,1,3.0,0.0,2.7,0,3.6,0.33,62.71,2.0,Crystal Palace,False,Manchester United,,
Christian Benteke,Crystal Palace,Manchester United,2021-12-05,False,66,0.0,0.16,0.0,0.01,2,2.0,1.0,5.0,0,3.8,0.36,62.93,1.0,Crystal Palace,True,Everton,,
Christian Benteke,Crystal Palace,Everton,2021-12-12,True,16,0.0,0.12,0.0,0.0,1,1.0,0.0,4.4,0,3.6,0.35,60.0,1.0,Crystal Palace,True,Southampton,,
Christian Benteke,Crystal Palace,Southampton,2021-12-15,True,26,0.0,0.0,0.0,0.0,1,0.0,0.0,0.9,0,1.4,0.16,58.0,0.0,Crystal Palace,False,Tottenham,,
Christian Benteke,Crystal Palace,Tottenham,,False,0,,,,,0,,,0.0,0,1.0,0.12,54.78,1.0,Crystal Palace,True,Norwich,,
Christian Benteke,Crystal Palace,Norwich,2021-12-28,True,9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,1.0,0.06,52.37,2.0,Crystal Palace,True,West Ham,,
