name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Emmanuel Dennis,Watford,Aston Villa,2021-08-14,True,65,1.0,0.59,1.0,0.21,12,5.0,3.0,18.3,3,0.24,12.0,1.59,65.0,2.0,Watford,False,Brighton,,
Emmanuel Dennis,Watford,Brighton,2021-08-21,False,90,0.0,0.03,0.0,0.04,2,1.0,1.0,5.0,0,2.88,7.0,0.81,77.5,1.0,Watford,False,Tottenham,,
Emmanuel Dennis,Watford,Tottenham,2021-08-29,False,90,0.0,0.13,0.0,0.0,1,2.0,0.0,2.5,0,4.9,5.0,0.58,81.67,1.0,Watford,True,Wolverhampton,,
Emmanuel Dennis,Watford,Wolverhampton,2021-09-11,True,90,0.0,0.01,0.0,0.0,1,1.0,0.0,1.3,0,6.97,4.0,0.44,83.75,6.0,Watford,False,Norwich,,
Emmanuel Dennis,Watford,Norwich,2021-09-18,False,72,1.0,0.46,0.0,0.0,6,2.0,0.0,7.4,0,8.27,4.4,0.45,81.4,1.0,Watford,True,Newcastle United,,
Emmanuel Dennis,Watford,Newcastle United,2021-09-25,True,74,0.0,0.28,0.0,0.04,1,4.0,1.0,8.2,0,9.43,2.2,0.18,80.17,1.0,Watford,False,Leicester City,,
Emmanuel Dennis,Watford,Leicester City,2021-10-02,False,90,0.0,0.07,0.0,0.04,1,1.0,2.0,6.3,0,8.56,2.0,0.19,81.57,2.0,Watford,True,Liverpool,,
Emmanuel Dennis,Watford,Liverpool,2021-10-16,True,68,0.0,0.0,0.0,0.0,2,0.0,0.0,0.7,0,7.68,2.2,0.16,79.88,12.0,Watford,False,Everton,,
Emmanuel Dennis,Watford,Everton,2021-10-23,False,26,1.0,0.46,2.0,0.9,12,2.0,4.0,15.4,2,7.33,4.4,0.65,73.89,0.0,Watford,True,Southampton,,
Emmanuel Dennis,Watford,Southampton,,True,0,,,,,0,,,0.0,0,6.06,3.2,0.56,66.5,2.0,Watford,False,Arsenal,,
Emmanuel Dennis,Watford,Arsenal,2021-11-07,False,73,0.0,0.02,0.0,0.0,2,1.0,0.0,2.0,0,6.27,3.4,0.51,67.09,14.0,Watford,True,Manchester United,,
Emmanuel Dennis,Watford,Manchester United,2021-11-20,True,90,1.0,0.25,2.0,0.54,14,4.0,2.0,13.2,3,6.56,6.0,0.95,69.0,10.0,Watford,False,Leeds United,,
Emmanuel Dennis,Watford,Leeds United,2021-11-28,False,70,1.0,0.46,0.0,0.05,10,3.0,2.0,12.5,1,8.61,7.6,1.04,69.08,9.0,Watford,True,Chelsea,,
Emmanuel Dennis,Watford,Chelsea,2021-12-01,True,90,1.0,0.09,0.0,0.4,9,1.0,1.0,9.6,3,9.17,7.0,0.56,70.57,2.0,Watford,True,Manchester City,,
Emmanuel Dennis,Watford,Manchester City,2021-12-04,True,90,0.0,0.08,0.0,0.02,2,2.0,1.0,5.6,0,15.65,7.4,0.58,71.87,9.0,Watford,False,Brentford,,
Emmanuel Dennis,Watford,Brentford,2021-12-10,False,90,1.0,0.11,0.0,0.31,9,2.0,1.0,8.4,3,23.97,8.8,0.6,73.0,7.0,Watford,True,West Ham,,
Emmanuel Dennis,Watford,West Ham,2021-12-28,True,90,1.0,0.39,0.0,0.0,7,2.0,0.0,9.7,1,30.98,7.4,0.23,74.0,1.0,Watford,True,Tottenham,,
Emmanuel Dennis,Watford,Tottenham,2022-01-01,True,45,0.0,0.06,0.0,0.0,1,1.0,0.0,2.3,0,30.6,5.6,0.15,72.39,2.0,Watford,False,Newcastle United,,
Emmanuel Dennis,Watford,Newcastle United,2022-01-15,False,83,0.0,0.12,0.0,0.58,2,2.0,2.0,5.2,0,32.56,4.2,0.15,72.95,-1.0,Watford,True,Norwich,,
Emmanuel Dennis,Watford,Norwich,2022-01-21,True,77,0.0,0.03,0.0,0.02,-1,1.0,1.0,2.1,0,34.83,3.6,0.14,73.15,0.0,Watford,False,Burnley,,
Emmanuel Dennis,Watford,Burnley,,False,0,,,,,0,,,0.0,0,34.83,1.8,0.12,69.67,2.0,Watford,False,West Ham,,
Emmanuel Dennis,Watford,West Ham,2022-02-08,False,90,0.0,0.04,0.0,0.02,2,1.0,1.0,4.6,0,31.54,0.8,0.05,70.59,1.0,Watford,True,Brighton,,
Emmanuel Dennis,Watford,Brighton,2022-02-12,True,90,0.0,0.24,0.0,0.0,1,2.0,0.0,1.7,0,30.4,0.8,0.09,71.43,9.0,Watford,False,Aston Villa,,
Emmanuel Dennis,Watford,Aston Villa,2022-02-19,False,85,1.0,0.69,0.0,0.07,9,2.0,1.0,11.2,3,29.82,2.2,0.2,72.0,2.0,Watford,True,Crystal Palace,,
Emmanuel Dennis,Watford,Crystal Palace,2022-02-23,True,90,0.0,0.99,0.0,0.03,2,4.0,1.0,4.8,0,29.82,2.8,0.39,72.72,2.0,Watford,False,Manchester United,,
Emmanuel Dennis,Watford,Manchester United,2022-02-26,False,90,0.0,0.14,0.0,0.0,2,1.0,0.0,3.5,0,27.85,3.2,0.42,73.38,2.0,Watford,True,Arsenal,,
Emmanuel Dennis,Watford,Arsenal,2022-03-06,True,90,0.0,0.6,0.0,0.07,2,4.0,1.0,7.4,0,28.85,3.2,0.53,74.0,2.0,Watford,False,Wolverhampton,,
Emmanuel Dennis,Watford,Wolverhampton,2022-03-10,False,90,0.0,0.1,0.0,0.0,2,1.0,0.0,3.0,0,28.85,3.4,0.5,74.57,2.0,Watford,False,Southampton,,
Emmanuel Dennis,Watford,Southampton,2022-03-13,False,86,0.0,0.04,0.0,0.09,2,1.0,1.0,3.2,0,26.96,2.0,0.37,74.97,1.0,Watford,False,Liverpool,,
Emmanuel Dennis,Watford,Liverpool,2022-04-02,False,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,24.07,1.8,0.18,72.87,1.0,Watford,True,Leicester City,,
Emmanuel Dennis,Watford,Leicester City,2022-04-09,True,51,0.0,0.0,0.0,0.02,1,0.0,1.0,3.1,0,23.74,1.6,0.15,72.16,8.0,Watford,True,Brentford,,
Emmanuel Dennis,Watford,Brentford,2022-04-16,True,90,1.0,0.14,0.0,0.02,8,3.0,1.0,9.7,2,21.95,2.8,0.06,72.72,5.0,Watford,False,Manchester City,,
Emmanuel Dennis,Watford,Manchester City,2022-04-23,False,90,0.0,0.15,1.0,0.22,5,1.0,2.0,9.0,0,22.18,3.4,0.27,73.24,2.0,Watford,True,Burnley,,
Emmanuel Dennis,Watford,Burnley,2022-04-30,True,90,0.0,0.23,0.0,0.28,2,3.0,3.0,7.5,0,23.68,3.4,0.3,73.74,2.0,Watford,False,Crystal Palace,,
Emmanuel Dennis,Watford,Crystal Palace,2022-05-07,False,72,0.0,0.0,0.0,0.0,2,0.0,0.0,0.7,0,24.58,3.6,0.3,73.69,0.0,Watford,True,Everton,,
Emmanuel Dennis,Watford,Everton,,True,0,,,,,0,,,0.0,0,24.58,3.4,0.3,71.64,0.0,Watford,True,Leeds United,,
Emmanuel Dennis,Watford,Leeds United,,True,0,,,,,0,,,0.0,0,18.49,1.8,0.27,69.7,0.0,Watford,False,Chelsea,,
Emmanuel Dennis,Watford,Chelsea,,False,0,,,,,0,,,0.0,0,16.34,0.8,0.05,67.87,,Nott'm Forest,False,Everton,,
