name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Louie Moulden,Wolves,Southampton,,False,0,0,0,0,0,0,0,,0.0,0.0,0,0.0,0,0,0.0,Wolves,True,Newcastle United,,
Louie Moulden,Wolves,Newcastle United,,True,0,0,0,0,0,0,0,,0.04,0.0,0,0.0,0,0,0.0,Wolves,False,Aston Villa,,
Louie Moulden,Wolves,Aston Villa,,False,0,0,0,0,0,0,0,,0.1,0.0,0,0.0,0,0,0.0,Wolves,False,Leicester City,,
Louie Moulden,Wolves,Leicester City,,False,0,0,0,0,0,0,0,,0.13,0.0,0,0.0,0,0,0.0,Wolves,True,Everton,,
Louie Moulden,Wolves,Everton,,True,0,0,0,0,0,0,0,,0.15,0.0,0,0.0,0,0,0.0,Wolves,False,Crystal Palace,,
Louie Moulden,Wolves,Crystal Palace,,False,0,0,0,0,0,0,0,,0.15,0.0,0,0.0,0,0,0.0,Wolves,True,West Ham,,
Louie Moulden,Wolves,West Ham,,True,0,0,0,0,0,0,0,,0.14,0.0,0,0.0,0,0,0.0,Wolves,False,Norwich,,
Louie Moulden,Wolves,Norwich,,False,0,0,0,0,0,0,0,,0.14,0.0,0,0.0,0,0,0.0,Wolves,True,Burnley,,
Louie Moulden,Wolves,Burnley,,True,0,0,0,0,0,0,0,,0.14,0.0,0,0.0,0,0,0.0,Wolves,True,Liverpool,,
Louie Moulden,Wolves,Liverpool,,True,0,0,0,0,0,0,0,,0.15,0.0,0,0.0,0,0,0.0,Wolves,False,Manchester City,,
Louie Moulden,Wolves,Manchester City,,False,0,0,0,0,0,0,0,,0.15,0.0,0,0.0,0,0,0.0,Wolves,False,Brighton,,
Louie Moulden,Wolves,Brighton,,False,0,0,0,0,0,0,0,,0.14,0.0,0,0.0,0,0,0.0,Wolves,True,Chelsea,,
Louie Moulden,Wolves,Chelsea,,True,0,0,0,0,0,0,0,,0.18,0.0,0,0.0,0,0,0.0,Wolves,False,Manchester United,,
Louie Moulden,Wolves,Manchester United,,False,0,0,0,0,0,0,0,,0.15,0.0,0,0.0,0,0,0.0,Wolves,True,Southampton,,
Louie Moulden,Wolves,Southampton,2022-01-15,True,0,0,0,0,0,0,0,0.0,0.14,0.0,0,0.0,0,0,0.0,Wolves,False,Brentford,,
Louie Moulden,Wolves,Brentford,,False,0,0,0,0,0,0,0,,0.14,0.0,0,0.0,0,0,0.0,Wolves,True,Arsenal,,
Louie Moulden,Wolves,Arsenal,,True,0,0,0,0,0,0,0,,0.14,0.0,0,0.0,0,0,0.0,Wolves,False,Tottenham,,
Louie Moulden,Wolves,Tottenham,,False,0,0,0,0,0,0,0,,0.13,0.0,0,0.0,0,0,0.0,Wolves,True,Leeds United,,
Louie Moulden,Wolves,Leeds United,,True,0,0,0,0,0,0,0,,0.13,0.0,0,0.0,0,0,0.0,Wolves,False,Arsenal,,
Louie Moulden,Wolves,Arsenal,,False,0,0,0,0,0,0,0,,0.13,0.0,0,0.0,0,0,0.0,Wolves,False,West Ham,,
Louie Moulden,Wolves,West Ham,,False,0,0,0,0,0,0,0,,0.13,0.0,0,0.0,0,0,0.0,Wolves,True,Crystal Palace,,
Louie Moulden,Wolves,Crystal Palace,,True,0,0,0,0,0,0,0,,0.12,0.0,0,0.0,0,0,0.0,Wolves,True,Watford,,
Louie Moulden,Wolves,Watford,,True,0,0,0,0,0,0,0,,0.12,0.0,0,0.0,0,0,0.0,Wolves,False,Everton,,
Louie Moulden,Wolves,Everton,2022-03-13,False,0,0,0,0,0,0,0,0.06,0.12,0.0,0,0.0,0,0,0.0,Wolves,True,Leicester City,,
Louie Moulden,Wolves,Leicester City,,True,0,0,0,0,0,0,0,,0.12,0.0,0,0.0,0,0,0.0,Wolves,True,Aston Villa,,
Louie Moulden,Wolves,Aston Villa,,True,0,0,0,0,0,0,0,,0.12,0.0,0,0.0,0,0,0.0,Wolves,False,Newcastle United,,
Louie Moulden,Wolves,Newcastle United,,False,0,0,0,0,0,0,0,,0.12,0.0,0,0.0,0,0,0.0,Wolves,False,Burnley,,
Louie Moulden,Wolves,Burnley,2022-04-24,False,0,0,0,0,0,0,0,0.03,0.12,0.0,0,0.0,0,0,0.0,Wolves,True,Brighton,,
Louie Moulden,Wolves,Brighton,,True,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0,0,0.0,Wolves,False,Chelsea,,
Louie Moulden,Wolves,Chelsea,,False,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0,0,0.0,Wolves,True,Manchester City,,
Louie Moulden,Wolves,Manchester City,2022-05-11,True,0,0,0,0,0,0,0,0.0,0.11,0.0,0,0.0,0,0,0.0,Wolves,True,Norwich,,
Louie Moulden,Wolves,Norwich,2022-05-15,True,0,0,0,0,0,0,0,0.0,0.11,0.0,0,0.0,0,0,0.0,Wolves,False,Liverpool,,
Louie Moulden,Wolves,Liverpool,,False,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0,0,,Liverpool,False,Fulham,,
