name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,0,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,45537,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,62638,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,64383,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,63827,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,64313,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,63381,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,62196,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,61709,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,60345,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,59910,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,60073,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,60363,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,60920,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,59328,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,57943,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,55459,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,54964,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,54964,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,54011,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,52801,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,51877,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,51877,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,51057,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,50213,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,50213,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,49845,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,49611,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,49264,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,49150,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,49131,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,48781,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,48368,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,48368,0.0,0,0.0,0,0,0.0,Watford,True,,,
Robert Elliot,Watford,,,True,0,0,0,0,0,0,0,,48364,0.0,0,0.0,0,0,0.0,Watford,False,,,
Robert Elliot,Watford,,,False,0,0,0,0,0,0,0,,47699,0.0,0,0.0,0,0,,Liverpool,False,Fulham,,
