name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Fabio Henrique Tavares,Liverpool,Norwich,,False,29,,,,,1,,,0.6,0,57480,1.0,0.0,29.0,0.0,Liverpool,True,Burnley,,
Fabio Henrique Tavares,Liverpool,Burnley,,True,0,,,,,0,,,0.0,0,61205,0.5,0.0,14.5,2.0,Liverpool,True,Chelsea,,
Fabio Henrique Tavares,Liverpool,Chelsea,,True,90,,,,,2,,,3.0,0,43825,1.0,0.0,39.67,7.0,Liverpool,False,Leicester City,,
Fabio Henrique Tavares,Liverpool,Leicester City,,False,90,,,,,7,,,11.1,0,49239,2.5,0.0,52.25,3.0,Liverpool,True,Crystal Palace,,
Fabio Henrique Tavares,Liverpool,Crystal Palace,2021-09-18,True,90,0.0,0.02,0.0,0.0,3,1.0,0.0,4.4,0,66245,2.6,0.0,59.8,5.0,Liverpool,False,Brentford,,
Fabio Henrique Tavares,Liverpool,Brentford,,False,90,,,,,5,,,4.2,0,75447,3.4,0.0,64.83,1.0,Liverpool,True,Manchester City,,
Fabio Henrique Tavares,Liverpool,Manchester City,,True,90,,,,,1,,,3.8,0,78428,3.6,0.0,68.43,0.0,Liverpool,False,Watford,,
Fabio Henrique Tavares,Liverpool,Watford,,False,0,,,,,0,,,0.0,0,71548,3.2,0.0,59.88,0.0,Liverpool,False,Manchester United,,
Fabio Henrique Tavares,Liverpool,Manchester United,,False,0,,,,,0,,,0.0,0,70328,1.8,0.0,53.22,0.0,Liverpool,True,Brighton,,
Fabio Henrique Tavares,Liverpool,Brighton,2021-10-30,True,0,0.0,0.03,0.0,0.0,0,1.0,0.0,0.0,0,61928,1.2,0.01,47.9,2.0,Liverpool,False,West Ham,,
Fabio Henrique Tavares,Liverpool,West Ham,2021-11-07,False,79,0.0,0.08,0.0,0.0,2,1.0,0.0,1.7,0,58500,0.6,0.02,50.73,2.0,Liverpool,True,Arsenal,,
Fabio Henrique Tavares,Liverpool,Arsenal,2021-11-20,True,90,0.0,0.0,0.0,0.01,2,0.0,1.0,2.2,0,60662,0.8,0.02,54.0,3.0,Liverpool,True,Southampton,,
Fabio Henrique Tavares,Liverpool,Southampton,2021-11-27,True,90,0.0,0.22,1.0,0.2,3,6.0,1.0,5.4,0,61952,1.4,0.27,56.77,2.0,Liverpool,False,Everton,,
Fabio Henrique Tavares,Liverpool,Everton,,False,90,,,,,2,,,2.6,0,61840,1.8,0.27,59.14,2.0,Liverpool,False,Wolverhampton,,
Fabio Henrique Tavares,Liverpool,Wolverhampton,,False,90,,,,,2,,,2.1,0,61302,2.2,0.26,61.2,3.0,Liverpool,True,Aston Villa,,
Fabio Henrique Tavares,Liverpool,Aston Villa,,True,90,,,,,3,,,4.7,0,61101,2.4,0.24,63.0,0.0,Liverpool,True,Newcastle United,,
Fabio Henrique Tavares,Liverpool,Newcastle United,,True,0,,,,,0,,,0.0,0,60745,2.0,0.24,59.29,0.0,Liverpool,False,Tottenham,,
Fabio Henrique Tavares,Liverpool,Tottenham,,False,0,,,,,0,,,0.0,0,58264,1.4,0.0,56.0,2.0,Liverpool,False,Leeds United,,
